"","NAMELSAD","X","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","Geo_NAME","SE_A00002_002","SE_A00002_001","SE_A00003_001","SE_A00003_002","SE_A00003_003","SE_A02002_002","SE_A02002_003","SE_A02002_004","SE_A02002_005","SE_A02002_006","SE_A02002_007","SE_A02002_008","SE_A02002_009","SE_A02002_010","SE_A02002_011","SE_A02002_012","SE_A02002_013","SE_A02002_014","SE_A02002_015","SE_A02002_016","SE_A02002_017","SE_A02002_018","SE_A02002_019","SE_A02002_020","SE_A02002_021","SE_A02002_022","SE_A02002_023","SE_A02002_024","SE_A02002_025","SE_A02002_026","SE_A02002_027","SE_C01001B_002","SE_C01001B_003","SE_C01001B_004","SE_C01001B_005","SE_C01001B_006","SE_C01001B_007","SE_C01001B_008","SE_C01001B_009","SE_C01001B_010","SE_C01001B_011","SE_C01001B_012","SE_C01001B_013","SE_C01001B_014","SE_C01001B_015","SE_C01001B_016","SE_C01001B_017","SE_C01001B_018","SE_C01001B_019","SE_C01001B_020","SE_C01001B_021","SE_C01001B_022","SE_C01001B_023","SE_A01004_001","SE_A01004_002","SE_A01004_003","SE_A10008_001","SE_A10008_002","SE_A10008_003","SE_A10008_004","SE_A10008_005","SE_A10008_006","SE_A10008_007","SE_A10008_008","SE_A10008_009","SE_A10024_001","SE_A10024_002","SE_A10024_003","SE_A10024_004","SE_A10024_005","SE_A10024_006","SE_A10024_007","SE_A10024_008","SE_A10002B_001","SE_A10002B_002","SE_A10002B_003","SE_A10002B_004","SE_A10002B_005","SE_A10002B_006","SE_A10002B_007","SE_A10002B_008","SE_A10022_001","SE_A10022_002","SE_A10022_003","SE_A10022_004","SE_A10022_005","SE_A10022_006","SE_A10022_007","SE_A10022_008","SE_A10005B_001","SE_A10005B_002","SE_A10005B_003","SE_A10005B_004","SE_A10005B_005","SE_A10005B_006","SE_A10005B_007","SE_A10005B_008","SE_A10009_001","SE_A10009_002","SE_A10009_003","SE_A10009_004","SE_A10009_005","SE_A10009_006","SE_A10009_007","SE_A10009_008","SE_A10009_009","SE_A10009_010","SE_A10009_011","SE_A10009_012","SE_A10009_013","SE_A10009_014","SE_A10009_015","SE_A10009_016","SE_A10009_017","SE_A10009_018","SE_A10009_019","SE_A10010_002","SE_A03001B_002","SE_A03001B_010","SE_A10023_002","SE_A10023_003","SE_A10020_002","SE_A10020_003","SE_A10020_004","SE_A10020_005","SE_A10020_006","SE_A10020_007","SE_A10020_008","SE_A10020_009","SE_A10020_010","SE_A01003B_002","SE_A01003B_003","SE_A01003B_004","SE_A01003B_005","SE_A01003B_006","SE_A01003B_007","SE_A01003B_008","SE_A01003B_009","SE_A01003B_010","SE_A10003_001","SE_A10003B_001","SE_A11001_002","SE_A11001_003","SE_A11001_004","SE_A11001_005","SE_A11001_006","SE_A14019_001","SE_A14016_001","SE_A14021_001","SE_A14023_001","SE_A14023_002","SE_A14023_007","SE_A14023_009","SE_A10011_002","SE_A10011_003","SE_A10019_002","SE_A10019_003","SE_A10016_002","SE_A10016_003","SE_A10012_002","SE_A10012_003","SE_A10017_002","SE_A10017_003","SE_A10018_002","SE_A10018_003","SE_A10014_002","SE_A10014_003","SE_A10015_002","SE_A10015_003","SE_A10013_002","SE_A10013_003","SE_A14024_001","SE_A14026_001","SE_A14026_002","SE_A14026_003","SE_A14026_004","SE_A14026_005","SE_A14027_001","SE_A14027_002","SE_A14027_003","SE_A14027_004","SE_A14027_005","SE_A14027_006","SE_A14025_001","SE_A14025_002","SE_A14025_003","SE_A14025_004","SE_A14025_005","SE_A14025_006","SE_A14028_001","SE_A10060_001","SE_A10060_002","SE_A10060_003","SE_A10044_001","SE_A10044_002","SE_A10044_003","SE_A10032_002","SE_A10032_003","SE_A10032_004","SE_A10032_005","SE_A10032_006","SE_A10032_007","SE_A10032_008","SE_A10032_009","SE_A10032_010","SE_A10032_011","SE_A10032_012","SE_A10031_002","SE_A10031_003","SE_A10031_004","SE_A10031_005","SE_A10031_006","SE_A10031_007","SE_A10056B_001","SE_A10056B_002","SE_A10056B_003","SE_A10056B_004","SE_A10056B_005","SE_A10056B_006","SE_A10056B_007","SE_A10050_002","SE_A10050_003","SE_A10050_004","SE_A10050_005","SE_A10050_006","SE_A10050_007","SE_A10042B_002","SE_A10042B_003","SE_A10042B_004","SE_A10042B_005","SE_A10042B_006","SE_A10042B_007","SE_A10057_001","SE_A10036_001","SE_A18003_001","SE_A18004_001","SE_A18008_001","SE_A18008_005","SE_A18008_006","SE_A18007_002","SE_A18007_003","SE_A10041_001","SE_A10041_002","SE_A10041_003","SE_A10041_004","SE_A10041_005","SE_A10041_006","SE_A10041_007","SE_A10041_008","SE_A10037_001","SE_A10037_002","SE_A10037_003","SE_A10027_002","SE_A10027_003","SE_A10027_004","SE_A10027_005","SE_A10027_006","SE_A10027_007","SE_A10027_008","SE_A10027_009","SE_A10027_010","SE_A10027_011","SE_A10027_012","SE_A10027_013","SE_A10027_014","SE_A10027_015","SE_A13003A_001","SE_A13003A_002","SE_A13003A_003","SE_A13003B_001","SE_A13003B_002","SE_A13003B_003","SE_A13003C_001","SE_A13003C_002","SE_A13003C_003","SE_A09001_002","SE_A09001_003","SE_A09001_004","SE_A09001_005","SE_A09001_006","SE_A09001_007","SE_A09001_008","SE_A09001_009","SE_A09002_002","SE_A09002_003","SE_A09002_004","SE_A09002_005","SE_A09002_006","SE_A09002_007","SE_A09002_008","SE_A10030_002","SE_A10030_003","SE_A10030_004","SE_A10030_005","SE_A10030_006","SE_A10030_007","SE_A10054B_002","SE_A10054B_003","SE_A10054B_004","SE_A10054B_005","SE_A10054B_006","SE_A10054B_007","SE_A16002_001","SE_A16002_002","SE_A16002_003","SE_A16002_004","SE_A16002_005","SE_A16002_006","SE_A16002_007","SE_A06001_002","SE_A06001_003","SE_A06001_004","SE_A06001_005","SE_A05001_002","SE_A05001_003","SE_A05001_004","SE_A10048_001","SE_A10048_002","SE_A10048_003"
"1","Alameda city",11,2006,10.611,5124,3688,675,429,59,0,1376,598,30,3591,0.205893832943013,8891211.42,534741.86,3501601.16,40284.76,63548.41,0,2027761.58,1615586.83,69550,7519157.16,1226849.76,-0.469586260733802,0.759562954520768,-0.274482825917252,-0.274482825917252,-0.0427712724434036,0.361621602068298,"Alameda city, California",73750,6831.50949082169,22.9663427012017,10.7955643037728,12.1707783974289,36128,2167,2110,1523,1507,3483,3738,5211,5756,5798,2669,1640,526,37622,2115,1848,1416,1258,3196,5347,3968,6909,5669,2896,1907,1093,69468,65510,62571,59806,59147,57730,56646,53127,49335,44042,39522,34863,28349,22198,15838,13828,10731,9380,7636,5166,3108,1619,42.7,40.8,44.3,29050,16983,12808,4175,1645,2530,12067,4851,7216,29050,9186,9966,4438,3687,1186,311,276,15071,5435,5035,1951,1362,941,250,97,29050,7343,7040,1939,1218,3883,303,21707,15071,4163,4056,1283,741,2032,107,10908,29050,7429,7343,5078,2265,730,1535,86,86,0,21621,9640,7730,1910,915,995,11981,4765,7216,18572,8864,2012,2978,26072,829,3551,4920,7234,3484,2604,3541,1686,1201,829,2723,3188,3687,1655,897,1107,386,599,2.53,2.45,20416,28739,1843,3833,7740,2746836500,64179,830339900,2886508100,1907782000,40252300,333741100,23585,5465,22185,6865,5875,23175,10677,18373,7427,21623,1200,27850,852,28198,5099,23951,3242,25808,39139,35741,65677,100223,143327,215017,17867,51174,85294,117047,201395,288685,3.8,10.8,18,24.8,42.6,15.3,0.389,29050,13979,15071,30999,29050,1949,16340,13652,2688,2343,4033,2659,1116,2252,2126,0,130,11225,7056,4547,3112,2406,704,15071,8767,4246,1348,385,268,57,1935,5259,9625,8713,2795,723,1678,4629,5927,2468,298,71,1957,669500,24.6000003814697,19282800,1333,1401,1365,1349,1283,13979,10237,4170,495,3675,71,5996,3742,24.2000007629395,31.2999992370605,9.30000019073486,0,363,736,512,1133,884,603,1044,996,1429,6756,5627,8744,223,13890,2525,11365,48996,3289,45707,10415,319,10096,38341,2803,12095,6793,5943,5522,4881,304,596,8686,12409,7493,3972,4881,304,2097,11211,10516,3176,1424,626,1611,7496,4502,778,495,189,59127,6008,3272,2736,53119,45124,7995,55352,18398,12866,5532,70665,51318,19347,29050,28957,28900
"2","Alhambra city",15,2006,7.631,2955,2477,190,169,3,0,745,449,10,1929,0.212182741116751,1126444.74,612897.29,208595.79,182.5,47151.49,0,480599.11,341711.2,4720,515975.09,347578.31,-0.262707275803722,0.978655783952816,-0.0645414551607445,-0.0645414551607445,-0.0493807106598985,0.288371543597091,"Alhambra city, California",84235,11051.4697585519,7.62206311380593,7.62206311380593,0,37697,2237,2956,1603,1178,3718,5463,5614,6290,3497,2725,1443,973,46538,2455,1648,2577,1778,5371,5197,7925,6369,4889,3581,2311,2437,79543,74939,70759,67803,65450,64366,62452,58714,53754,48054,40634,34515,28246,21856,16544,15365,13470,12180,9888,7164,4928,3410,39.1,37.9,39.8,27824,19720,11267,8453,2453,6000,8104,3477,4627,27824,6490,8094,6651,4051,1751,359,428,16064,4325,4386,3603,2270,1031,256,193,27824,9737,8747,2131,1249,5367,990,18087,16064,5981,5301,1494,824,2983,680,10083,27824,9737,9737,5294,4443,889,3554,0,0,0,18087,9983,5973,4010,1564,2446,8104,3477,4627,10589,6142,6405,9714,18110,1098,4184,6727,6996,2707,1287,2737,1186,902,971,3281,4317,3942,1183,502,1042,324,502,2.88,2.83,24820,30655,2036,5931,7317,1766348500,40781,398764800,1899038300,791882600,145829500,703546600,24275,3549,23097,4727,3747,24077,5401,22423,6620,21204,1034,26790,371,27453,2164,25660,2696,25128,22545,22205,38403,59653,92993,176564,12730,29336,48322,75408,151619,224523,4,9.2,15.2,23.8,47.8,17.7,0.435,27824,11760,16064,30138,27824,2314,16474,13245,3229,961,3101,4373,2398,1644,1187,0,0,9618,6185,6942,2575,1354,1150,16064,7734,3766,3532,742,140,150,975,6359,11022,7442,1687,339,927,5839,6808,2101,389,0,1955,525000,32,17802400,1104,1282,1058,1159,1062,11760,8066,1851,349,1502,190,6025,3694,24.3999996185303,31.6000003814697,11,108,477,1028,1099,926,437,425,1601,1287,2427,8811,2917,5697,584,16355,2869,13486,53166,7262,45904,12734,2210,10524,36739,2375,11863,7724,7398,4348,2120,911,234,6345,15383,9164,2582,2120,911,2076,9875,11102,3490,929,352,1161,7382,5866,1258,263,134,67762,2031,1199,832,65731,53093,12638,45876,38359,25445,12914,78806,70470,8336,27824,27439,27367
"3","Anaheim city",32,2006,49.835,12109,10665,636,710,19,18,883,1645,41,10436,0.107853662565034,3555823.07,1380837.61,938627.84,1910,275322.9,600,644010.53,1729860.61,20698,2279481.7,1154141.01,0.0179106449748121,0.717707812695031,0.0721298207944504,0.0721298207944504,-0.00630687918077463,0.264755536653529,"Anaheim city, California",330795,6758.86479687268,50.4497499602315,48.942390466674,1.5073594935575,168581,15550,13393,14755,8880,15872,27052,29441,19844,12160,6413,3987,1234,162214,13182,14087,13151,6614,15749,21939,26435,20485,13144,9048,5163,3217,302063,274583,246677,231183,222240,217825,213169,199562,175932,150571,119247,94695,73212,54366,40316,35251,29062,25361,19846,13601,9094,4451,31.9,30.6,33.5,93021,70754,51226,19528,4458,15070,22267,10615,11652,93021,17517,23570,13388,18310,9962,4266,6008,46504,9730,11229,6875,8206,5085,2008,3371,93021,43450,39211,6912,10566,21733,4239,49571,46504,23027,21126,4504,7169,9453,1901,23477,93021,44035,43713,32018,11695,2070,9625,322,322,0,48986,27041,19208,7833,2388,5445,21945,10293,11652,61536,28206,23117,38101,54920,2723,16058,25402,20701,7674,5368,8061,5030,2004,2507,12074,14249,8889,2077,1366,3022,1519,801,3.5,3.54,83122,120578,8407,13423,21147,6994135000,43425,1058137100,7470504900,4957924400,911232600,2628646000,80998,12023,79221,13800,8629,84392,17238,75783,17446,75575,3392,89629,1914,91107,13175,79846,13539,79482,22583,28202,50621,74765,110431,177986,15942,38134,61565,91353,168950,256355,4.2,10.1,16.4,24.3,44.9,17,0.408,93021,46517,46504,99165,93021,6144,52715,43827,8888,882,9259,6582,7440,6472,12064,3683,68,37476,24112,16960,7067,4317,3089,46504,28990,11054,5265,912,220,63,3618,14849,27666,27125,15702,4061,3423,14140,20577,5408,2822,134,1971,509800,35.5,62426400,1313,1298,1270,1324,1361,46517,36845,12185,3165,9020,457,24203,9672,29.6000003814697,33.4000015258789,10,0,762,2195,1932,2251,2285,1412,812,2951,5146,27702,15956,29066,551,98176,18618,79558,202121,21456,180665,28018,2775,25243,148797,11422,42845,33172,30547,19744,7260,3807,2139,28184,57116,37311,12980,7260,3807,6731,27748,34731,15466,6638,1707,5538,19010,16433,4103,1268,152,231106,12265,7108,5157,218841,194936,23905,208141,122654,44766,77888,311944,262937,49007,93021,92739,91946
"4","Antioch city",38,2006,28.349,3035,2667,258,312,4,0,279,244,1,2688,0.186161449752883,43013900.39,163371.35,42793130.09,1200,18970.2,0,95948.37,221871.54,50,42824142.48,286831.68,-0.228072487644152,0.757359371904212,-0.0706952224052718,-0.0706952224052718,-0.0370148270181219,0.279614195508473,"Antioch city, California",100381,3724.96322975198,27.579982609958,26.9481854742184,0.631797135739625,50634,3137,4802,4236,2142,5196,7105,6781,8491,3985,3119,1261,379,49747,4873,2525,4132,3374,5216,7245,6745,6707,4355,2669,1282,624,92371,85044,76676,71160,68709,66672,64754,60748,51682,46398,40098,32872,23908,17674,12875,11191,9334,7552,5692,3546,2138,1003,31.1,31.7,30.7,32066,24253,16017,8236,3816,4420,7813,4684,3129,32066,6071,9234,5300,6345,3182,1076,858,11485,2896,2028,2057,2455,1359,402,288,32066,15193,13992,3160,2842,7990,1201,16873,11485,6751,6134,1838,1424,2872,617,4734,32066,15193,15193,9083,6110,2359,3751,0,0,0,16873,9060,6934,2126,1457,669,7813,4684,3129,19810,6709,3367,7838,24228,1140,5901,6929,8601,2078,2107,3261,1435,614,968,3219,2757,2625,409,240,608,347,312,3.13,3.25,29742,35577,1888,3663,5806,2484348700,38759,371848000,2605959000,1505664800,256734300,629894100,26231,5835,25072,6994,3286,28780,5160,26906,7478,24588,1227,30839,1378,30688,4857,27209,3584,28482,25961,27212,49903,77569,117410,200016,14645,38516,61802,96408,176009,261194,3.8,9.9,16,24.9,45.4,16.9,0.419,32066,20581,11485,36466,32066,4400,29544,27388,2156,269,882,2050,773,245,2252,451,0,10959,9572,6358,2524,1418,1235,11485,7856,1806,1208,532,0,83,207,2200,6211,11464,8025,3959,207,2200,3976,3098,1397,607,1983,376000,41.0999984741211,15039100,1326,1328,1273,1439,1197,20581,16576,4813,1809,3004,138,11625,4005,29.2000007629395,33.5,11,0,449,1351,1003,760,1035,207,470,763,2026,5441,6350,12113,98,29169,5318,23851,61826,6811,55015,9334,1672,7662,42889,3611,11483,3651,7006,7830,6008,3300,1117,6973,10655,8988,5848,6008,3300,1612,8471,12995,6574,1925,489,1258,4935,3241,1761,226,64,70934,5521,2704,2817,65413,58896,6517,76293,24088,10737,13351,93461,70843,22618,32066,32066,31800
"5","Apple Valley town",40,2006,73.193,1711,1644,32,104,50,3,54,381,0,1477,0.0748100526008182,239848.55,177399.23,12233.32,1893.34,11858.38,4050,15814,157251.35,0,124513.2,65685.36,0.283109292811221,0.914136686825415,0.238825248392753,0.238825248392753,0.00644652250146114,0.21684823007584,"Apple Valley town, California",68305,931.445904363891,73.6245862915195,73.332224319186,0.292361972333463,32467,3708,2301,1448,1735,3604,3697,3486,5032,3805,1971,1615,65,35838,2578,2062,2970,1680,3832,4165,4086,4740,3152,4103,1686,784,62019,57656,53238,49823,47263,45615,45196,42387,38590,34525,31381,26953,22407,17181,13367,11962,10224,9058,7791,4150,2219,849,35.3,33.7,36.1,23024,16152,11790,4362,1276,3086,6872,2330,4542,23024,4911,7217,4453,4420,960,582,481,8006,2184,1559,1867,1340,434,192,430,23024,8758,8341,2192,1878,4271,417,14266,8006,3889,3654,1420,729,1505,235,4117,23024,8918,8805,5821,2984,1016,1968,113,113,0,14106,7347,5969,1378,260,1118,6759,2217,4542,18735,6177,1919,4413,18611,939,3845,3657,4736,1626,2085,3584,2210,342,667,2197,1822,1376,280,479,790,271,124,2.97,3.17,15396,25669,1079,4009,7085,1423154600,26890,290506200,1483246000,1194501400,48287400,213404200,16266,6758,14882,8142,3247,19777,4710,18314,8277,14747,1422,21602,1646,21378,4453,18571,4716,18308,21715,16127,29910,60741,99011,153599,10495,23602,44495,80350,150116,230767,3.4,7.6,14.4,26,48.6,18.7,0.464,23024,15018,8006,27136,23024,4112,21043,20341,702,1206,2448,650,172,324,69,1224,0,10018,6200,4191,1646,757,212,8006,6053,1234,544,68,0,107,351,453,6220,10888,3849,1263,213,328,3938,2393,774,360,1986,273600,41.2999992370605,7013000,918,1040,771,947,891,15018,11739,3705,1814,1891,46,7988,3279,26.2999992370605,31.6000003814697,16.8999996185303,125,417,626,904,418,1099,855,983,1579,1036,5599,4231,4104,1048,18153,5158,12995,39599,7302,32297,10224,646,9578,21288,2364,6746,3205,2242,3251,2120,1360,507,4900,6908,2981,2512,2120,1360,1253,7602,8405,4379,733,652,906,4231,1900,922,47,0,49781,5258,3340,1918,44523,36217,8306,64186,4119,2584,1535,64434,41574,22860,23024,23024,22955
"6","Arden-Arcade CDP",46,2006,17.829,7020,5662,389,401,64,5,1770,1304,48,4875,0.247008547008547,7293814.56,2826238.83,1035552.66,3906.67,244786.52,450,3099428.4,2454454.47,18065,3412718.32,2311387.69,-0.239562678062678,0.865389398727091,-0.096485754985755,-0.096485754985755,-0.0618675213675214,0.379068416811361,"Arden-Arcade CDP, California",90773,4806.82522834625,18.9903721561644,18.884189810918,0.106182345246387,41979,3166,2578,2397,2525,2822,7735,5039,5662,4697,2494,1865,999,48794,2658,2840,2727,2122,5000,5831,5994,7676,5853,2860,3514,1719,84949,79531,74407,69760,67991,66690,66248,61938,54726,48372,41615,37339,31227,24001,17537,15383,13451,12029,10646,8097,5198,2718,37.4,34.8,39.3,38883,22286,14170,8116,2045,6071,16597,7200,9397,38883,14174,11021,7392,4162,1413,458,263,18900,8606,4544,2593,2325,501,135,196,38883,12336,11555,2917,1319,7319,781,26547,18900,5612,5243,1945,740,2558,369,13288,38883,12562,12336,6148,6188,1516,4672,226,226,0,26321,9950,8022,1928,529,1399,16371,6974,9397,30698,12113,2681,3969,34914,2732,6498,6062,8363,3779,2622,4116,3065,1646,2690,5309,2976,2836,1188,923,1369,973,636,2.31,2.2,26549,29998,1967,5858,10035,2778907700,35049,807394800,2825632500,2391937100,63094900,218291200,29890,8993,28659,10224,4191,34692,10823,28060,9697,29186,2777,36106,1687,37196,8402,30481,6653,32230,31129,24508,38819,65088,101951,193062,13266,31624,50681,81175,180596,324331,3.7,8.8,14.2,22.7,50.5,22.7,0.467,38883,19983,18900,43101,38883,4218,23729,21927,1802,1032,4564,3720,3667,2545,3656,125,63,17909,6666,6230,3084,2363,2631,18900,14406,2441,1507,434,0,112,865,8242,11548,13125,3697,1406,662,7608,7750,2284,276,320,1964,335500,29.2000007629395,16836700,848,888,862,846,938,19983,14419,5599,1547,4052,472,8348,5564,23.8999996185303,30.1000003814697,9.89999961853027,68,636,1084,1403,1662,1911,3503,3748,2899,4017,7061,2565,8210,116,20421,3400,17021,55892,6110,49782,13024,649,12375,40254,5814,14037,10038,6400,1874,1298,793,1436,9795,18658,6949,1325,1298,793,4678,15014,13179,4866,717,429,3790,9271,4013,1408,296,122,69760,8149,4372,3777,61611,51937,9674,79163,11610,5547,6063,84062,52784,31278,38883,38513,38317
"7","Bakersfield city",69,2006,142.164,7304,5501,922,530,11,7,1074,2132,34,5306,0.19578313253012,73367472.56,2138157.24,68172967.6,2870,156817.9,1520,765123.71,2276311.68,11048.57,71624206.4,1019067.78,0.279058050383352,0.865132324787919,0.250292990142388,0.250292990142388,0.00778614457831325,0.359724037647434,"Bakersfield city, California",321978,2846.87562940187,114.398686017078,113.09872362343,1.29996239364816,158207,15141,13722,13533,8458,16238,30153,21649,16306,11886,6995,2694,1432,163771,13339,13628,12069,8766,18623,28320,21587,18543,12770,8395,5653,2078,293498,266148,240546,223322,213066,207239,202765,188461,154546,129988,107732,86752,68627,51903,38471,32589,27247,23763,18671,11857,7078,3510,29,28.5,29.4,105658,75654,53267,22387,7387,15000,30004,13580,16424,105658,22931,29066,17484,20130,9829,3283,2935,45183,12903,12025,6559,6922,3938,1260,1576,105658,49082,46093,11250,11127,23716,2989,56576,45183,20476,19709,6784,5235,7690,767,24707,105658,49751,49116,31987,17129,5566,11563,635,340,295,55907,26538,21280,5258,1821,3437,29369,13240,16129,70523,27377,16548,36550,69108,5244,27944,22938,20257,7551,6646,8318,4860,1900,4355,17854,9111,6707,1944,1884,1417,1339,572,3.01,2.83,82236,115000,5785,11668,25857,7117721600,34194,1389052300,7345210400,5035143100,797276400,1977218400,89946,15712,87155,18503,10823,94835,18817,86841,21804,83854,5552,100106,5233,100425,12538,93120,15887,89771,22813,22272,40092,62304,101150,166025,12356,31032,50757,80793,161891,264350,3.7,9.2,15.1,24,48.1,19.6,0.445,105658,60475,45183,113620,105658,7962,82834,79609,3225,2580,10235,7421,2596,1366,4523,2022,43,52409,27277,15986,5433,2546,2007,45183,34284,7763,2152,787,197,0,2786,8228,25090,45247,21317,2990,2640,7881,17488,13580,3370,224,1984,251500,33,44001700,889,961,770,933,819,60475,49865,13531,4484,9047,698,35636,10610,27.6000003814697,30.8999996185303,10.8999996185303,43,754,2833,3723,3897,4295,7333,6857,7765,5243,23578,15940,22504,893,97496,20571,76925,194669,29861,164808,26281,2854,23427,135363,21052,54219,28492,15923,7532,5032,3113,4672,41410,57681,17273,6182,5032,3113,6692,33657,42836,16428,4449,1596,5640,20152,15348,2940,992,111,223322,16726,10787,5939,206596,185288,21308,264309,57669,22927,34742,296830,236153,60677,105658,104882,104129
"8","Baldwin Park city",70,2006,6.631,1297,1200,39,17,1,2,82,85,1,1195,0.0647648419429453,148265.46,77158.44,25966.01,24,1877.75,200,59292.24,32234.64,1000,84584.46,42394.48,-0.508542791056284,0.871505254633745,-0.0321819583654588,-0.0321819583654588,-0.0082035466461064,0.163401143953883,"Baldwin Park city, California",72687,10906.5504293628,6.79765620535694,6.66452701711359,0.133129188243343,36829,2987,2407,3477,1875,5204,5359,6259,4324,3166,1119,568,84,35858,2418,1858,3623,2374,3677,4614,6013,5140,2921,1705,1147,368,67282,63017,55917,51668,48956,47644,45987,42787,37744,32814,26887,20542,15830,11078,7509,6407,4991,4436,3473,2167,1120,452,31.7,28.7,33.8,17304,15026,9535,5491,1936,3555,2278,914,1364,17304,1939,3013,3254,3298,2823,1733,1244,7132,778,891,970,1579,1684,780,450,17304,9127,6987,570,1293,5124,2140,8177,7132,4341,3346,251,626,2469,995,2791,17304,9332,9283,6253,3030,921,2109,49,0,49,7972,5743,3282,2461,1015,1446,2229,914,1315,7123,2218,6049,13269,4035,213,1712,4468,5437,1664,1156,1873,539,242,213,1043,2214,1942,739,368,402,126,85,4.18,4.5,22166,25652,1333,2438,4328,1047728800,39615,69493200,1175183400,454313700,501001900,848190400,15413,1891,14786,2518,2165,15139,2350,14954,3728,13576,1122,16182,606,16698,1442,15862,2763,14541,16168,23078,42574,62914,90760,153012,14331,30559,51693,74585,131573,184951,4.7,10.1,17.1,24.6,43.5,15.3,0.39,17304,10172,7132,18189,17304,885,14092,13369,723,375,226,804,500,804,1105,283,0,4705,4077,4647,1986,806,1083,7132,3454,1804,1659,162,53,0,140,1489,4598,8354,2486,237,44,1446,2187,2835,566,54,1968,371100,34,8425700,1185,1148,998,1396,1134,10172,7745,2035,686,1349,168,5542,2427,29.5,36.0999984741211,8.39999961853027,185,190,1232,267,573,714,597,228,488,859,4823,3085,3859,204,20725,4940,15785,46677,4978,41699,4583,535,4048,31092,2040,7271,5038,7904,4612,3537,690,268,5431,8650,9197,3319,3537,690,980,4547,5671,3524,1918,664,776,2498,2081,949,774,54,51668,1276,853,423,50392,45824,4568,39402,33285,13371,19914,69300,64426,4874,17304,17304,17094
"9","Bellflower city",88,2006,6.117,1817,1701,43,57,3,5,118,128,8,1680,0.0682443588332416,135433.94,93201.42,20461.38,1250,10269,2349,31931,56364.36,2250,75912.58,25239.24,-0.170698954320308,0.78522192082133,-0.0125371491469455,-0.0125371491469455,-0.0101816180517336,0.155597540951085,"Bellflower city, California",83824,13801.775318118,6.14770995077969,6.07342157569842,0.0742883750812745,42162,3788,2810,4566,2636,5510,5294,6050,5750,2898,1707,1056,97,41662,2358,3499,3022,2138,4215,5206,7241,5955,3403,2992,1449,184,77678,71369,63781,59007,56117,55437,53282,49282,43987,38782,32564,25491,18338,13786,9803,9015,7485,6263,5011,2786,1330,281,32,28.2,35.5,24824,18731,12751,5980,1345,4635,6093,3188,2905,24824,4929,6089,4300,4906,2335,1365,900,14812,3163,3520,3316,2749,1096,347,621,24824,11321,10189,2136,2296,5757,1132,13503,14812,7051,6493,1784,1501,3208,558,7761,24824,11464,11419,8045,3374,763,2611,45,45,0,13360,7312,4706,2606,582,2024,6048,3143,2905,10227,4884,6731,10552,14272,1192,4044,5777,6505,2271,1252,2123,1452,208,1067,3203,4398,3111,1026,774,897,336,0,3.38,3.21,24156,29719,1645,3449,4812,1537095800,47095,270987200,1650738700,692437300,492082200,677371400,21390,3434,21078,3746,1927,22897,2885,21939,4954,19870,1001,23823,428,24396,2283,22541,2651,22173,19693,25636,46565,64572,93570,125126,15301,38388,55467,79017,121426,162750,4.9,12.4,17.9,25.5,39.2,13.1,0.346,24824,10012,14812,26323,24824,1499,16792,14290,2502,584,1332,757,1146,1805,2193,1714,0,10790,5197,5360,1691,1004,782,14812,8769,3544,1806,511,0,182,1482,3228,9597,7826,2085,606,1344,2774,7555,2602,452,85,1959,450200,30,16931400,1158,1150,1060,1194,1262,10012,7407,1969,515,1454,50,5388,2605,27,31.1000003814697,12.3999996185303,98,366,701,531,380,899,621,832,1089,2280,8007,4376,4116,528,24700,3741,20959,51522,4089,47433,7485,1331,6154,38447,3520,11671,8243,8099,4900,1732,282,443,8208,14783,9651,3348,1732,282,1825,7250,9588,4029,1563,569,1309,5485,6044,1217,757,0,59007,2786,1455,1331,56221,50067,6154,56840,26984,13944,13040,80312,70860,9452,24824,24687,24557
