Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
"2019","Annual","Acton CDP","Not Adj","Not Prelim","3,600","3,500","100","3.3"
"2019","Annual","Adelanto city","Not Adj","Not Prelim","9,700","9,000","800","8.0"
"2019","Annual","Agoura Hills city","Not Adj","Not Prelim","11,600","11,100","500","3.9"
"2019","Annual","Alameda city","Not Adj","Not Prelim","41,400","40,300","1,100","2.6"
"2019","Annual","Alamo CDP","Not Adj","Not Prelim","6,600","6,500","100","1.8"
"2019","Annual","Albany city","Not Adj","Not Prelim","9,900","9,600","200","2.5"
"2019","Annual","Alhambra city","Not Adj","Not Prelim","46,600","44,800","1,700","3.7"
"2019","Annual","Aliso Viejo CDP","Not Adj","Not Prelim","30,600","29,800","800","2.5"
"2019","Annual","Alondra Park CDP","Not Adj","Not Prelim","4,100","3,800","300","6.2"
"2019","Annual","Alpaugh CDP","Not Adj","Not Prelim","400","300","100","21.3"
"2019","Annual","Alpine Village CDP","Not Adj","Not Prelim","90","90","0","0.0"
"2019","Annual","Altadena CDP","Not Adj","Not Prelim","23,900","23,100","800","3.3"
"2019","Annual","Alta Sierra CDP","Not Adj","Not Prelim","3,680","3,620","60","1.7"
"2019","Annual","Alturas city","Not Adj","Not Prelim","1,080","1,000","90","8.0"
"2019","Annual","Amador City city","Not Adj","Not Prelim","80","70","0","5.3"
"2019","Annual","American Canyon city","Not Adj","Not Prelim","10,300","9,900","400","3.7"
"2019","Annual","Anaheim city","Not Adj","Not Prelim","171,900","166,800","5,100","3.0"
"2019","Annual","Anderson city","Not Adj","Not Prelim","4,200","4,000","200","4.3"
"2019","Annual","Angels City city","Not Adj","Not Prelim","1,860","1,850","0","0.1"
"2019","Annual","Angwin CDP","Not Adj","Not Prelim","2,100","2,000","100","2.6"
"2019","Annual","Antioch city","Not Adj","Not Prelim","50,800","48,800","2,000","4.0"
"2019","Annual","Apple Valley town","Not Adj","Not Prelim","29,200","27,900","1,300","4.5"
"2019","Annual","Aptos CDP","Not Adj","Not Prelim","3,300","3,300","100","1.6"
"2019","Annual","Aptos Hills Larkin Valley CDP","Not Adj","Not Prelim","1,000","1,000","100","7.6"
"2019","Annual","Arbuckle CDP","Not Adj","Not Prelim","2,040","1,700","330","16.4"
"2019","Annual","Arcadia city","Not Adj","Not Prelim","30,000","29,000","1,000","3.4"
"2019","Annual","Arcata city","Not Adj","Not Prelim","9,600","9,100","500","5.5"
"2019","Annual","Arden Arcade CDP","Not Adj","Not Prelim","46,300","44,100","2,200","4.8"
"2019","Annual","Armona CDP","Not Adj","Not Prelim","1,400","1,300","100","10.3"
"2019","Annual","Arnold CDP","Not Adj","Not Prelim","1,130","1,070","60","4.9"
"2019","Annual","Aromas CDP (Monterey Co)","Not Adj","Not Prelim","1,600","1,600","100","4.6"
"2019","Annual","Arroyo Grande city","Not Adj","Not Prelim","9,300","9,000","200","2.5"
"2019","Annual","Artesia city","Not Adj","Not Prelim","8,000","7,700","300","3.6"
"2019","Annual","Arvin city","Not Adj","Not Prelim","9,000","8,400","700","7.3"
"2019","Annual","Ashland CDP","Not Adj","Not Prelim","11,200","10,700","500","4.7"
"2019","Annual","Atascadero city","Not Adj","Not Prelim","15,400","15,000","400","2.6"
"2019","Annual","Atherton town","Not Adj","Not Prelim","3,200","3,100","100","2.2"
"2019","Annual","Atwater city","Not Adj","Not Prelim","12,000","11,100","900","7.2"
"2019","Annual","Auberry CDP","Not Adj","Not Prelim","1,000","1,000","0","4.3"
"2019","Annual","Auburn city","Not Adj","Not Prelim","7,000","6,700","200","3.4"
"2019","Annual","August CDP","Not Adj","Not Prelim","3,400","3,000","400","11.6"
"2019","Annual","Avalon city","Not Adj","Not Prelim","2,100","2,100","0","0.4"
"2019","Annual","Avenal city","Not Adj","Not Prelim","3,700","3,200","500","12.5"
"2019","Annual","Avery CDP","Not Adj","Not Prelim","300","280","30","8.3"
"2019","Annual","Avocado Heights CDP","Not Adj","Not Prelim","7,400","7,000","400","5.5"
"2019","Annual","Azusa city","Not Adj","Not Prelim","25,300","24,300","1,100","4.2"
"2019","Annual","Bakersfield city","Not Adj","Not Prelim","178,900","169,500","9,400","5.3"
"2019","Annual","Baldwin Park city","Not Adj","Not Prelim","34,700","33,100","1,600","4.7"
"2019","Annual","Banning city","Not Adj","Not Prelim","11,300","10,700","600","5.0"
"2019","Annual","Barstow city","Not Adj","Not Prelim","8,900","8,400","500","5.2"
"2019","Annual","Bay Point CDP","Not Adj","Not Prelim","11,900","11,300","600","5.4"
"2019","Annual","Beale AFB CDP","Not Adj","Not Prelim","200","200","0","8.7"
"2019","Annual","Bear Valley CDP","Not Adj","Not Prelim","30","30","0","0.0"
"2019","Annual","Bear Valley Springs CDP","Not Adj","Not Prelim","1,800","1,800","100","3.8"
"2019","Annual","Beaumont city","Not Adj","Not Prelim","23,000","22,300","800","3.3"
"2019","Annual","Beckwourth CDP","Not Adj","Not Prelim","120","120","0","0.0"
"2019","Annual","Belden CDP","Not Adj","Not Prelim","0","0","0","0.0"
"2019","Annual","Bell city","Not Adj","Not Prelim","15,200","14,500","700","4.7"
"2019","Annual","Bellflower city","Not Adj","Not Prelim","36,600","34,800","1,800","5.0"
"2019","Annual","Bell Gardens city","Not Adj","Not Prelim","18,200","17,300","800","4.4"
"2019","Annual","Belmont city","Not Adj","Not Prelim","16,900","16,500","400","2.1"
"2019","Annual","Benicia city","Not Adj","Not Prelim","14,900","14,500","400","2.7"
"2019","Annual","Ben Lomond CDP","Not Adj","Not Prelim","3,800","3,700","100","2.2"
"2019","Annual","Berkeley city","Not Adj","Not Prelim","62,800","61,100","1,700","2.8"
"2019","Annual","Bermuda Dunes CDP","Not Adj","Not Prelim","3,500","3,400","100","3.7"
"2019","Annual","Bertsch Oceanview CDP","Not Adj","Not Prelim","750","640","110","14.4"
"2019","Annual","Bethel Island CDP","Not Adj","Not Prelim","800","800","0","2.3"
"2019","Annual","Beverly Hills city","Not Adj","Not Prelim","18,400","17,700","700","3.8"
"2019","Annual","Big Bear City CDP","Not Adj","Not Prelim","5,800","5,600","100","2.3"
"2019","Annual","Big Bear Lake city","Not Adj","Not Prelim","2,300","2,300","0","1.4"
"2019","Annual","Biggs city","Not Adj","Not Prelim","900","900","0","2.9"
"2019","Annual","Big Pine CDP","Not Adj","Not Prelim","710","680","30","4.7"
"2019","Annual","Big River CDP","Not Adj","Not Prelim","400","400","0","5.9"
"2019","Annual","Biola CDP","Not Adj","Not Prelim","600","500","100","21.3"
"2019","Annual","Bishop city","Not Adj","Not Prelim","1,640","1,590","50","3.0"
"2019","Annual","Bloomington CDP","Not Adj","Not Prelim","10,200","9,800","400","4.3"
"2019","Annual","Blue Lake city","Not Adj","Not Prelim","500","500","0","3.5"
"2019","Annual","Bluewater CDP","Not Adj","Not Prelim","0","0","0","6.3"
"2019","Annual","Blythe city","Not Adj","Not Prelim","5,700","5,500","300","4.4"
"2019","Annual","Bodega Bay CDP","Not Adj","Not Prelim","500","500","0","1.8"
"2019","Annual","Bodfish CDP","Not Adj","Not Prelim","400","400","0","8.2"
"2019","Annual","Bonadelle Ranchos Madera Ranchos CDP","Not Adj","Not Prelim","4,200","4,000","200","4.8"
"2019","Annual","Bonita CDP","Not Adj","Not Prelim","6,100","5,800","300","4.9"
"2019","Annual","Bootjack CDP","Not Adj","Not Prelim","330","310","20","6.9"
"2019","Annual","Boron CDP","Not Adj","Not Prelim","800","800","0","5.0"
"2019","Annual","Boronda CDP","Not Adj","Not Prelim","500","400","200","31.8"
"2019","Annual","Bostonia CDP","Not Adj","Not Prelim","8,000","7,600","500","6.1"
"2019","Annual","Boulder Creek CDP","Not Adj","Not Prelim","2,600","2,500","200","5.9"
"2019","Annual","Boyes Hot Springs CDP","Not Adj","Not Prelim","4,100","4,100","100","1.7"
"2019","Annual","Bradbury city","Not Adj","Not Prelim","500","500","0","1.3"
"2019","Annual","Bradley CDP","Not Adj","Not Prelim","100","100","0","0.0"
"2019","Annual","Brawley city","Not Adj","Not Prelim","10,100","8,700","1,500","14.4"
"2019","Annual","Brea city","Not Adj","Not Prelim","23,200","22,600","600","2.6"
"2019","Annual","Brentwood city","Not Adj","Not Prelim","29,500","28,500","1,000","3.3"
"2019","Annual","Bret Harte CDP","Not Adj","Not Prelim","2,000","1,800","200","12.4"
"2019","Annual","Brisbane city","Not Adj","Not Prelim","2,900","2,900","100","2.2"
"2019","Annual","Broadmoor CDP","Not Adj","Not Prelim","3,600","3,400","100","4.1"
"2019","Annual","Bucks Lake CDP","Not Adj","Not Prelim","20","20","0","0.0"
"2019","Annual","Buellton city","Not Adj","Not Prelim","2,800","2,700","0","1.5"
"2019","Annual","Buena Park city","Not Adj","Not Prelim","40,400","39,100","1,300","3.1"
"2019","Annual","Burbank city","Not Adj","Not Prelim","59,300","56,400","3,000","5.0"
"2019","Annual","Burlingame city","Not Adj","Not Prelim","18,500","18,200","400","1.9"
"2019","Annual","Burney CDP","Not Adj","Not Prelim","1,300","1,200","100","4.9"
"2019","Annual","Buttonwillow CDP","Not Adj","Not Prelim","600","500","0","8.1"
"2019","Annual","Byron CDP","Not Adj","Not Prelim","600","600","0","5.8"
"2019","Annual","Bystrom CDP","Not Adj","Not Prelim","1,300","1,300","100","6.4"
"2019","Annual","Cabazon CDP","Not Adj","Not Prelim","1,300","1,300","0","3.5"
"2019","Annual","Calabasas city","Not Adj","Not Prelim","12,300","11,900","300","2.7"
"2019","Annual","Calexico city","Not Adj","Not Prelim","18,500","12,700","5,800","31.2"
"2019","Annual","California City city","Not Adj","Not Prelim","4,600","3,800","700","15.5"
"2019","Annual","Calimesa city","Not Adj","Not Prelim","3,600","3,400","100","4.2"
"2019","Annual","Calipatria city","Not Adj","Not Prelim","1,200","900","300","22.8"
"2019","Annual","Calistoga city","Not Adj","Not Prelim","2,700","2,600","100","3.8"
"2019","Annual","Calwa CDP","Not Adj","Not Prelim","900","800","100","13.4"
"2019","Annual","Camarillo city","Not Adj","Not Prelim","34,300","33,300","1,000","2.9"
"2019","Annual","Cambria CDP","Not Adj","Not Prelim","2,700","2,600","100","3.7"
"2019","Annual","Cameron Park CDP","Not Adj","Not Prelim","9,800","9,500","300","3.2"
"2019","Annual","Campbell city","Not Adj","Not Prelim","26,800","26,200","600","2.3"
"2019","Annual","Cantua Creek CDP","Not Adj","Not Prelim","100","100","0","6.7"
"2019","Annual","Canyondam CDP","Not Adj","Not Prelim","40","10","20","66.7"
"2019","Annual","Canyon Lake city","Not Adj","Not Prelim","5,400","5,300","100","2.1"
"2019","Annual","Capitola city","Not Adj","Not Prelim","5,700","5,600","100","1.4"
"2019","Annual","Carlsbad city","Not Adj","Not Prelim","55,400","53,800","1,600","2.9"
"2019","Annual","Carmel by the Sea city","Not Adj","Not Prelim","1,600","1,600","0","0.2"
"2019","Annual","Carmel Valley Village CDP","Not Adj","Not Prelim","2,600","2,300","200","9.4"
"2019","Annual","Carmichael CDP","Not Adj","Not Prelim","30,800","29,700","1,100","3.7"
"2019","Annual","Carpinteria city","Not Adj","Not Prelim","7,200","7,000","200","3.1"
"2019","Annual","Carson city","Not Adj","Not Prelim","46,300","44,100","2,200","4.8"
"2019","Annual","Cartago CDP","Not Adj","Not Prelim","0","0","0","0.0"
"2019","Annual","Caruthers CDP","Not Adj","Not Prelim","1,200","1,100","100","7.0"
"2019","Annual","Casa Conejo CDP","Not Adj","Not Prelim","1,700","1,600","100","5.8"
"2019","Annual","Casa de Oro Mount Helix CDP","Not Adj","Not Prelim","9,800","9,500","300","3.0"
"2019","Annual","Castro Valley CDP","Not Adj","Not Prelim","31,700","30,900","800","2.7"
"2019","Annual","Castroville CDP","Not Adj","Not Prelim","3,500","3,100","400","11.6"
"2019","Annual","Cathedral City city","Not Adj","Not Prelim","26,400","25,400","1,000","3.8"
"2019","Annual","Cayucos CDP","Not Adj","Not Prelim","1,300","1,300","0","2.8"
"2019","Annual","Ceres city","Not Adj","Not Prelim","21,600","20,100","1,500","7.1"
"2019","Annual","Cerritos city","Not Adj","Not Prelim","25,500","24,600","900","3.6"
"2019","Annual","Challenge Brownsville CDP","Not Adj","Not Prelim","300","300","0","0.0"
"2019","Annual","Channel Islands Beach CDP","Not Adj","Not Prelim","1,700","1,500","200","10.1"
"2019","Annual","Charter Oak CDP","Not Adj","Not Prelim","5,000","4,700","300","5.3"
"2019","Annual","Cherryland CDP","Not Adj","Not Prelim","7,400","7,000","400","5.3"
"2019","Annual","Cherry Valley CDP","Not Adj","Not Prelim","3,300","3,300","100","2.5"
"2019","Annual","Chester CDP","Not Adj","Not Prelim","990","930","60","6.5"
"2019","Annual","Chico city","Not Adj","Not Prelim","47,500","45,500","1,900","4.1"
"2019","Annual","Chilcoot Vinton CDP","Not Adj","Not Prelim","10","0","10","100.0"
"2019","Annual","China Lake Acres CDP","Not Adj","Not Prelim","600","600","0","6.6"
"2019","Annual","Chinese Camp CDP","Not Adj","Not Prelim","30","30","0","0.0"
"2019","Annual","Chino city","Not Adj","Not Prelim","43,600","42,200","1,400","3.2"
"2019","Annual","Chino Hills city","Not Adj","Not Prelim","45,700","44,500","1,200","2.5"
"2019","Annual","Chowchilla city","Not Adj","Not Prelim","4,500","4,200","300","6.1"
"2019","Annual","Chualar CDP","Not Adj","Not Prelim","700","600","0","6.9"
"2019","Annual","Chula Vista city","Not Adj","Not Prelim","123,600","119,300","4,300","3.5"
"2019","Annual","Citrus CDP","Not Adj","Not Prelim","5,400","5,200","200","3.1"
"2019","Annual","Citrus Heights city","Not Adj","Not Prelim","43,700","42,200","1,500","3.5"
"2019","Annual","Claremont city","Not Adj","Not Prelim","17,300","16,600","700","4.0"
"2019","Annual","Clayton city","Not Adj","Not Prelim","5,900","5,800","100","1.4"
"2019","Annual","Clearlake city","Not Adj","Not Prelim","6,110","5,520","590","9.6"
"2019","Annual","Clearlake Oaks CDP","Not Adj","Not Prelim","790","740","60","7.1"
"2019","Annual","Clio CDP","Not Adj","Not Prelim","40","40","0","0.0"
"2019","Annual","Cloverdale city","Not Adj","Not Prelim","4,400","4,400","100","1.5"
"2019","Annual","Clovis city","Not Adj","Not Prelim","54,700","52,700","2,100","3.8"
"2019","Annual","Clyde CDP","Not Adj","Not Prelim","400","400","0","2.2"
"2019","Annual","Coachella city","Not Adj","Not Prelim","20,100","18,100","2,000","10.1"
"2019","Annual","Coalinga city","Not Adj","Not Prelim","6,400","5,900","500","7.7"
"2019","Annual","Cobb CDP","Not Adj","Not Prelim","510","500","20","3.3"
"2019","Annual","Colfax city","Not Adj","Not Prelim","1,000","900","0","4.8"
"2019","Annual","Colton city","Not Adj","Not Prelim","24,700","23,700","1,000","4.0"
"2019","Annual","Columbia CDP","Not Adj","Not Prelim","780","700","80","10.4"
"2019","Annual","Colusa city","Not Adj","Not Prelim","3,020","2,700","320","10.7"
"2019","Annual","Commerce city","Not Adj","Not Prelim","5,900","5,600","300","5.3"
"2019","Annual","Compton city","Not Adj","Not Prelim","39,300","36,900","2,400","6.1"
"2019","Annual","Concord city","Not Adj","Not Prelim","66,000","64,100","1,900","2.9"
"2019","Annual","Concow CDP","Not Adj","Not Prelim","200","200","0","11.3"
"2019","Annual","Copperopolis CDP","Not Adj","Not Prelim","2,380","2,280","100","4.1"
"2019","Annual","Corcoran city","Not Adj","Not Prelim","4,500","3,800","700","15.4"
"2019","Annual","Corning city","Not Adj","Not Prelim","2,990","2,790","190","6.5"
"2019","Annual","Corona city","Not Adj","Not Prelim","84,700","82,100","2,600","3.1"
"2019","Annual","Coronado city","Not Adj","Not Prelim","7,700","7,400","200","3.0"
"2019","Annual","Corralitos CDP","Not Adj","Not Prelim","1,200","1,200","100","4.3"
"2019","Annual","Corte Madera town","Not Adj","Not Prelim","5,600","5,400","200","2.9"
"2019","Annual","Costa Mesa city","Not Adj","Not Prelim","66,200","64,500","1,700","2.5"
"2019","Annual","Cotati city","Not Adj","Not Prelim","4,300","4,200","100","2.8"
"2019","Annual","Coto de Caza CDP","Not Adj","Not Prelim","7,700","7,500","200","2.6"
"2019","Annual","Cottonwood CDP","Not Adj","Not Prelim","1,400","1,300","100","4.5"
"2019","Annual","Country Club CDP","Not Adj","Not Prelim","4,600","4,200","500","9.9"
"2019","Annual","Covelo CDP","Not Adj","Not Prelim","420","400","20","5.0"
"2019","Annual","Covina city","Not Adj","Not Prelim","24,100","23,000","1,100","4.7"
"2019","Annual","Crescent City city","Not Adj","Not Prelim","1,470","1,400","70","4.7"
"2019","Annual","Crescent Mills CDP","Not Adj","Not Prelim","120","120","0","0.0"
"2019","Annual","Crestline CDP","Not Adj","Not Prelim","4,400","4,300","100","2.4"
"2019","Annual","C Road CDP","Not Adj","Not Prelim","70","60","10","10.8"
"2019","Annual","Crockett CDP","Not Adj","Not Prelim","1,700","1,600","100","4.5"
"2019","Annual","Cromberg CDP","Not Adj","Not Prelim","90","90","0","0.0"
"2019","Annual","Cudahy city","Not Adj","Not Prelim","10,100","9,700","400","4.4"
"2019","Annual","Culver City city","Not Adj","Not Prelim","23,100","22,200","1,000","4.1"
"2019","Annual","Cupertino city","Not Adj","Not Prelim","29,800","29,100","700","2.4"
"2019","Annual","Cutler CDP","Not Adj","Not Prelim","2,500","2,200","300","10.3"
"2019","Annual","Cypress city","Not Adj","Not Prelim","25,200","24,400","700","2.9"
"2019","Annual","Daly City city","Not Adj","Not Prelim","65,700","64,300","1,400","2.1"
"2019","Annual","Dana Point city","Not Adj","Not Prelim","18,800","18,300","500","2.6"
"2019","Annual","Danville town","Not Adj","Not Prelim","20,800","20,200","600","2.7"
"2019","Annual","Darwin CDP","Not Adj","Not Prelim","10","10","0","0.0"
"2019","Annual","Davis city","Not Adj","Not Prelim","35,700","34,800","900","2.6"
"2019","Annual","Day Valley CDP","Not Adj","Not Prelim","1,600","1,500","100","4.5"
"2019","Annual","Deer Park CDP","Not Adj","Not Prelim","400","400","0","4.6"
"2019","Annual","Del Aire CDP","Not Adj","Not Prelim","5,500","5,300","200","3.6"
"2019","Annual","Delano city","Not Adj","Not Prelim","22,200","17,100","5,100","22.9"
"2019","Annual","Delhi CDP","Not Adj","Not Prelim","5,300","4,900","400","7.6"
"2019","Annual","Delleker CDP","Not Adj","Not Prelim","170","170","0","0.0"
"2019","Annual","Del Mar city","Not Adj","Not Prelim","2,300","2,300","100","2.3"
"2019","Annual","Del Monte Forest CDP","Not Adj","Not Prelim","1,700","1,600","100","7.2"
"2019","Annual","Del Rey CDP","Not Adj","Not Prelim","600","600","100","9.2"
"2019","Annual","Del Rey Oaks city","Not Adj","Not Prelim","1,000","900","100","6.8"
"2019","Annual","Denair CDP","Not Adj","Not Prelim","2,400","2,300","100","5.6"
"2019","Annual","Derby Acres CDP","Not Adj","Not Prelim","100","100","0","1.7"
"2019","Annual","Desert Hot Springs city","Not Adj","Not Prelim","11,700","11,000","700","5.6"
"2019","Annual","Desert View Highlands CDP","Not Adj","Not Prelim","1,100","1,000","100","7.1"
"2019","Annual","Diablo CDP","Not Adj","Not Prelim","100","100","0","0.0"
"2019","Annual","Diamond Bar city","Not Adj","Not Prelim","30,500","29,400","1,100","3.6"
"2019","Annual","Diamond Springs CDP","Not Adj","Not Prelim","5,300","5,000","200","4.6"
"2019","Annual","Dinuba city","Not Adj","Not Prelim","10,700","9,300","1,400","13.1"
"2019","Annual","Discovery Bay CDP","Not Adj","Not Prelim","7,900","7,600","200","2.8"
"2019","Annual","Dixon city","Not Adj","Not Prelim","9,700","9,400","400","3.8"
"2019","Annual","Dixon Lane Meadow Creek CDP","Not Adj","Not Prelim","1,240","1,190","50","3.9"
"2019","Annual","Dollar Point CDP","Not Adj","Not Prelim","500","500","0","2.1"
"2019","Annual","Dorrington CDP","Not Adj","Not Prelim","80","70","0","5.3"
"2019","Annual","Dos Palos city","Not Adj","Not Prelim","2,200","2,000","100","6.1"
"2019","Annual","Downey city","Not Adj","Not Prelim","57,500","55,200","2,400","4.1"
"2019","Annual","Duarte city","Not Adj","Not Prelim","11,100","10,500","600","5.4"
"2019","Annual","Dublin city","Not Adj","Not Prelim","32,500","31,700","800","2.5"
"2019","Annual","Ducor CDP","Not Adj","Not Prelim","200","200","0","8.8"
"2019","Annual","Dunsmuir city","Not Adj","Not Prelim","640","620","30","4.0"
"2019","Annual","Durham CDP","Not Adj","Not Prelim","2,800","2,800","100","2.4"
"2019","Annual","Dustin Acres CDP","Not Adj","Not Prelim","200","200","0","3.5"
"2019","Annual","Earlimart CDP","Not Adj","Not Prelim","3,900","3,400","600","14.6"
"2019","Annual","East Foothills CDP","Not Adj","Not Prelim","3,700","3,600","100","1.5"
"2019","Annual","East Hemet CDP","Not Adj","Not Prelim","8,300","7,700","500","6.6"
"2019","Annual","East Los Angeles CDP","Not Adj","Not Prelim","56,000","51,900","4,100","7.3"
"2019","Annual","East Oakdale CDP","Not Adj","Not Prelim","1,600","1,500","100","5.1"
"2019","Annual","Easton CDP","Not Adj","Not Prelim","1,100","1,000","100","7.7"
"2019","Annual","East Orosi CDP","Not Adj","Not Prelim","400","300","100","29.1"
"2019","Annual","East Palo Alto city","Not Adj","Not Prelim","15,100","14,800","400","2.4"
"2019","Annual","East Pasadena CDP","Not Adj","Not Prelim","3,100","3,100","100","1.8"
"2019","Annual","East Porterville CDP","Not Adj","Not Prelim","2,600","2,000","600","22.3"
"2019","Annual","East Quincy CDP","Not Adj","Not Prelim","1,230","1,220","10","1.1"
"2019","Annual","East Richmond Heights CDP","Not Adj","Not Prelim","1,900","1,900","0","1.4"
"2019","Annual","East San Gabriel CDP","Not Adj","Not Prelim","7,700","7,500","100","1.7"
"2019","Annual","East Shore CDP","Not Adj","Not Prelim","120","40","80","68.3"
"2019","Annual","East Sonora CDP","Not Adj","Not Prelim","930","930","0","0.0"
"2019","Annual","Eastvale City city","Not Adj","Not Prelim","32,800","31,800","1,000","2.9"
"2019","Annual","Edwards AFB CDP","Not Adj","Not Prelim","400","400","0","8.9"
"2019","Annual","El Cajon city","Not Adj","Not Prelim","45,100","43,500","1,600","3.6"
"2019","Annual","El Centro city","Not Adj","Not Prelim","18,400","15,900","2,500","13.5"
"2019","Annual","El Cerrito city","Not Adj","Not Prelim","13,900","13,600","300","2.4"
"2019","Annual","El Cerrito CDP","Not Adj","Not Prelim","2,400","2,300","100","2.6"
"2019","Annual","El Dorado Hills CDP","Not Adj","Not Prelim","22,500","21,900","600","2.8"
"2019","Annual","El Granada CDP","Not Adj","Not Prelim","3,600","3,500","100","1.9"
"2019","Annual","Elk Grove CDP","Not Adj","Not Prelim","83,100","80,500","2,600","3.1"
"2019","Annual","Elkhorn CDP","Not Adj","Not Prelim","700","600","100","9.4"
"2019","Annual","Elmira CDP","Not Adj","Not Prelim","100","100","0","3.5"
"2019","Annual","El Monte city","Not Adj","Not Prelim","51,900","49,700","2,200","4.2"
"2019","Annual","El Paso de Robles (Paso Robles) city","Not Adj","Not Prelim","16,300","15,900","400","2.7"
"2019","Annual","El Rio CDP","Not Adj","Not Prelim","2,800","2,700","200","6.4"
"2019","Annual","El Segundo city","Not Adj","Not Prelim","9,500","9,000","500","5.2"
"2019","Annual","El Sobrante CDP","Not Adj","Not Prelim","7,500","7,200","300","3.8"
"2019","Annual","El Verano CDP","Not Adj","Not Prelim","1,900","1,900","0","1.2"
"2019","Annual","Emeryville city","Not Adj","Not Prelim","7,500","7,300","200","2.1"
"2019","Annual","Empire CDP","Not Adj","Not Prelim","1,600","1,500","100","4.1"
"2019","Annual","Encinitas city","Not Adj","Not Prelim","33,300","32,500","800","2.4"
"2019","Annual","Escalon city","Not Adj","Not Prelim","3,800","3,700","100","3.1"
"2019","Annual","Escondido city","Not Adj","Not Prelim","69,600","67,400","2,100","3.1"
"2019","Annual","Esparto CDP","Not Adj","Not Prelim","1,900","1,800","100","3.9"
"2019","Annual","Eureka city","Not Adj","Not Prelim","12,700","12,200","400","3.5"
"2019","Annual","Exeter city","Not Adj","Not Prelim","4,700","4,200","400","9.5"
"2019","Annual","Fairfax town","Not Adj","Not Prelim","4,700","4,600","100","2.1"
"2019","Annual","Fairfield city","Not Adj","Not Prelim","53,700","51,700","1,900","3.6"
"2019","Annual","Fair Oaks CDP","Not Adj","Not Prelim","15,000","14,600","400","2.5"
"2019","Annual","Fairview CDP","Not Adj","Not Prelim","5,300","5,300","100","1.4"
"2019","Annual","Fallbrook CDP","Not Adj","Not Prelim","14,300","13,900","400","3.0"
"2019","Annual","Fall River Mills CDP","Not Adj","Not Prelim","100","100","0","0.0"
"2019","Annual","Farmersville city","Not Adj","Not Prelim","5,000","4,400","600","11.6"
"2019","Annual","Farmington CDP","Not Adj","Not Prelim","0","0","0","0.0"
"2019","Annual","Fellows CDP","Not Adj","Not Prelim","0","0","0","11.1"
"2019","Annual","Felton CDP","Not Adj","Not Prelim","2,300","2,200","200","6.6"
"2019","Annual","Ferndale city","Not Adj","Not Prelim","600","600","0","1.3"
"2019","Annual","Fetters Hot Springs Agua Caliente CDP","Not Adj","Not Prelim","2,500","2,500","0","1.2"
"2019","Annual","Fillmore city","Not Adj","Not Prelim","7,300","7,100","200","3.1"
"2019","Annual","Firebaugh city","Not Adj","Not Prelim","3,800","3,300","500","12.2"
"2019","Annual","Florence Graham CDP","Not Adj","Not Prelim","27,800","26,200","1,700","6.0"
"2019","Annual","Florin CDP","Not Adj","Not Prelim","20,500","19,200","1,300","6.3"
"2019","Annual","Folsom city","Not Adj","Not Prelim","37,600","36,600","1,000","2.7"
"2019","Annual","Fontana city","Not Adj","Not Prelim","99,600","96,100","3,500","3.6"
"2019","Annual","Foothill Farms CDP","Not Adj","Not Prelim","15,200","14,600","600","3.9"
"2019","Annual","Ford City CDP","Not Adj","Not Prelim","1,900","1,700","200","8.6"
"2019","Annual","Foresthill CDP","Not Adj","Not Prelim","700","700","0","2.8"
"2019","Annual","Forest Meadows CDP","Not Adj","Not Prelim","550","510","40","7.0"
"2019","Annual","Forestville CDP","Not Adj","Not Prelim","2,100","2,000","100","3.1"
"2019","Annual","Fort Bragg city","Not Adj","Not Prelim","3,170","3,040","120","3.9"
"2019","Annual","Fortuna city","Not Adj","Not Prelim","5,200","5,000","200","3.1"
"2019","Annual","Foster City city","Not Adj","Not Prelim","20,200","19,800","400","2.0"
"2019","Annual","Fountain Valley city","Not Adj","Not Prelim","28,400","27,600","800","2.8"
"2019","Annual","Fowler city","Not Adj","Not Prelim","3,000","2,800","200","5.5"
"2019","Annual","Frazier Park CDP","Not Adj","Not Prelim","1,200","1,100","100","8.3"
"2019","Annual","Freedom CDP","Not Adj","Not Prelim","1,900","1,800","100","7.2"
"2019","Annual","Fremont city","Not Adj","Not Prelim","120,700","117,700","3,000","2.5"
"2019","Annual","French Camp CDP","Not Adj","Not Prelim","1,100","1,100","100","6.3"
"2019","Annual","Fresno city","Not Adj","Not Prelim","234,600","221,200","13,400","5.7"
"2019","Annual","Friant CDP","Not Adj","Not Prelim","200","200","0","12.2"
"2019","Annual","Fullerton city","Not Adj","Not Prelim","70,500","68,500","2,000","2.9"
"2019","Annual","Furnace Creek CDP","Not Adj","Not Prelim","120","120","0","0.8"
"2019","Annual","Galt city","Not Adj","Not Prelim","11,700","11,100","600","5.1"
"2019","Annual","Gardena city","Not Adj","Not Prelim","30,400","29,000","1,400","4.5"
"2019","Annual","Garden Acres CDP","Not Adj","Not Prelim","4,500","4,200","400","8.0"
"2019","Annual","Garden Grove city","Not Adj","Not Prelim","81,900","79,400","2,500","3.0"
"2019","Annual","Georgetown CDP","Not Adj","Not Prelim","1,200","1,100","100","7.8"
"2019","Annual","Gilroy city","Not Adj","Not Prelim","30,500","29,600","900","3.0"
"2019","Annual","Glendale city","Not Adj","Not Prelim","103,900","99,700","4,200","4.1"
