TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;06;037;9108.04;1182;2,5
Census Block;06;037;9108.04;1183;5
Census Block;06;037;9108.04;1184;2
Census Block;06;037;9108.04;1185;5
Census Block;06;037;9108.04;1186;5
Census Block;06;037;9108.04;1187;5
Census Block;06;037;9108.04;1188;2
Census Block;06;037;9108.04;1189;5
Census Block;06;037;9108.04;1190;5
Census Block;06;037;9108.04;1191;2,5
Census Block;06;037;9108.04;1192;5
Census Block;06;037;9108.04;1193;5
Census Block;06;037;9108.04;1194;5
Census Block;06;037;9108.04;1195;2,3
Census Block;06;037;9108.04;1196;3
Census Block;06;037;9108.04;1200;3,6
Census Block;06;037;9108.04;1201;3,5,6
Census Block;06;037;9108.04;1202;3,6
Census Block;06;037;9108.04;1203;2,5
Census Block;06;037;9108.04;1204;2,5
Census Block;06;037;9108.04;1205;2,5
Census Block;06;037;9108.04;1206;2,5
Census Block;06;037;9108.04;1207;2
Census Block;06;037;9108.04;1208;2
Census Block;06;037;9108.04;1209;5
Census Block;06;037;9108.04;1210;5
Census Block;06;037;9108.04;1211;5
Census Block;06;037;9108.04;1212;5
Census Block;06;037;9108.04;1213;5
Census Block;06;037;9108.04;1214;5
Census Block;06;037;9108.04;1215;5
Census Block;06;037;9108.04;1216;5
Census Block;06;037;9108.04;1217;5
Census Block;06;037;9108.04;1218;5
Census Block;06;037;9108.04;1219;5,6
Census Block;06;037;9108.04;1220;5
Census Block;06;037;9108.04;1221;5
Census Block;06;037;9108.04;1222;2,5
Census Block;06;037;9108.04;1223;5
Census Block;06;037;9108.04;1224;2
Census Block;06;037;9108.04;1225;5
Census Block;06;037;9108.04;1226;5
Census Block;06;037;9108.04;1227;5
Census Block;06;037;9108.04;1228;1
Census Block;06;037;9108.04;1229;1
Census Block;06;037;9108.04;1230;1
Census Block;06;037;9108.04;1231;1
Census Block;06;037;9108.04;1232;1
Census Block;06;037;9108.04;1233;1
Census Block;06;037;9108.04;1234;1
Census Block;06;037;9108.04;1235;1
Census Block;06;037;9108.04;1236;1
Census Block;06;037;9108.04;1237;1
Census Block;06;037;9108.04;1238;1
Census Block;06;037;9108.04;1239;1
Census Block;06;037;9108.04;1240;1
Census Block;06;037;9108.04;1241;1
Census Block;06;037;9108.04;1242;1
Census Block;06;037;9108.04;1243;1
Census Block;06;037;9108.04;1244;1
Census Block;06;037;9108.04;1245;1
Census Block;06;037;9108.04;1246;1
Census Block;06;037;9108.04;1247;1
Census Block;06;037;9108.04;1248;1
Census Block;06;037;9108.04;1249;1
Census Block;06;037;9108.04;1250;1
Census Block;06;037;9108.04;1251;1
Census Block;06;037;9108.04;1252;1
Census Block;06;037;9108.04;1253;1
Census Block;06;037;9108.04;1254;1
Census Block;06;037;9108.04;1256;2
Census Block;06;037;9108.04;1257;2
Census Block;06;037;9108.04;1258;1
Census Block;06;037;9108.04;1259;1
Census Block;06;037;9108.04;1260;1
Census Block;06;037;9108.04;1265;2
Census Block;06;037;9108.04;1267;2
Census Block;06;037;9108.04;1268;2
Census Block;06;037;9108.05;1000;4,5
Census Block;06;037;9108.05;1001;4,5
Census Block;06;037;9108.05;1002;4,5
Census Block;06;037;9108.05;1003;4
Census Block;06;037;9108.05;1004;4
Census Block;06;037;9108.05;1005;4
Census Block;06;037;9108.05;1006;1,4
Census Block;06;037;9108.05;1007;1,4
Census Block;06;037;9108.05;1008;4
Census Block;06;037;9108.05;1009;4
Census Block;06;037;9108.05;1010;4
Census Block;06;037;9108.05;1011;4
Census Block;06;037;9108.05;1012;4
Census Block;06;037;9108.05;1013;4
Census Block;06;037;9108.05;1014;1
Census Block;06;037;9108.05;1015;4
Census Block;06;037;9108.05;1016;4
Census Block;06;037;9108.05;1017;4
Census Block;06;037;9108.05;1019;1
Census Block;06;037;9108.05;1020;4
Census Block;06;037;9108.05;1021;1
Census Block;06;037;9108.05;1022;4
Census Block;06;037;9108.05;1023;4
Census Block;06;037;9108.05;1024;4
Census Block;06;037;9108.05;1025;1
Census Block;06;037;9108.05;1026;1
