	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
yr	21,269	2,002	10.77	1,980	2,018
area	21,269	11.43	23.56	0.0440	468.7
count	21,269	1,332	12,267	1	827,884
nIndv	21,269	1,225	11,686	0	816,704
nCorp	21,269	42.44	435.6	0	16,809
nIndvTech	21,269	150.3	1,471	0	90,506
nIndvBigTech	21,269	14.60	194.2	0	11,875
nCorpBigTech	21,269	2.392	46.95	0	5,636
nDemRec	21,269	591.6	6,614	0	584,847
nRepRec	21,269	126.2	745.0	0	35,343
nIndRec	21,269	11.58	200.4	0	19,914
nComRec	21,269	843.9	7,909	0	570,116
aTot	21,269	814,329	1.165e+07	-72,576	7.563e+08
aIndv	21,269	363,458	4.948e+06	-24,941	2.951e+08
aCorp	21,269	141,657	3.012e+06	-1,464	3.030e+08
aIndvBigTech	21,269	3,816	71,308	-6,362	6.881e+06
aIndvTech	21,269	48,129	1.758e+06	-100,063	2.457e+08
aCorpTech	21,269	1,700	32,889	-2,500	2.466e+06
aDemRec	21,269	228,371	3.169e+06	-669,128	1.429e+08
aRepRec	21,269	145,386	2.421e+06	-110,898	2.920e+08
aIndRec	21,269	29,531	1.230e+06	-1,400	1.315e+08
aComRec	21,269	546,885	8.758e+06	-19,394	6.266e+08
meanCFCont	21,269	-0.112	0.741	-3.549	4.170
meanCFCand	21,269	-0.0200	0.613	-1.960	3.920
sdCFCand	21,269	-0.0200	0.613	-1.960	3.920
meanCFDiff	21,269	-0.0251	0.172	-2.700	3.050
id	21,269	602.8	381.2	1	1,475
					
