	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
v1	837	419	241.8	1	837
yr	837	2,012	4.006	2,006	2,018
area	837	39.04	54.94	3.580	468.7
count	837	18,985	57,541	290	827,884
nIndv	837	17,645	55,232	289	816,704
nCorp	837	494.0	1,798	0	16,809
nIndvTech	837	2,290	6,883	17	90,506
nIndvBigTech	837	233.2	896.1	0	11,875
nCorpBigTech	837	36.66	229.7	0	5,636
nDemRec	837	8,707	31,745	54	584,847
nRepRec	837	1,332	3,119	8	35,343
nIndRec	837	184.6	985.7	0	19,914
nComRec	837	12,423	37,198	208	570,116
nGen	837	0.0524	0.0800	0	0.429
aTot	837	1.110e+07	5.257e+07	9,282	7.563e+08
aIndv	837	4.238e+06	1.990e+07	9,282	2.437e+08
aCorp	837	2.279e+06	1.458e+07	0	3.030e+08
aIndvBigTech	837	42,968	197,327	0	2.258e+06
aIndvTech	837	417,364	1.618e+06	-100,063	2.004e+07
aCorpTech	837	20,070	105,236	0	1.393e+06
aDemRec	837	2.940e+06	1.367e+07	2,349	1.429e+08
aRepRec	837	1.635e+06	6.122e+06	722.3	7.362e+07
aIndRec	837	484,494	5.432e+06	-229	1.315e+08
aComRec	837	8.018e+06	4.047e+07	5,737	6.266e+08
aGen	837	424,335	3.367e+06	-2,426	6.958e+07
meanCFCont	837	-0.596	0.440	-1.616	0.907
sdCFCont	837	0.917	0.185	0.351	1.542
meanCFCand	837	-0.377	0.350	-1.210	0.888
sdCFCand	837	-0.377	0.350	-1.210	0.888
meanCFDiff	837	-0.0455	0.0288	-0.163	0.0566
sdCFDiff	837	0.273	0.0678	0.0820	0.486
vReg	837	2.269e+06	3.009e+06	367,929	3.408e+07
vTurn	837	1.415e+06	1.902e+06	109,896	2.102e+07
popDen	837	140,389	334,688	931.4	3.990e+06
SE_A00003_001	837	42.96	61.73	3.509	502.7
SE_A00003_002	837	38.60	54.85	3.509	469.1
SE_A00003_003	837	4.354	18.16	0	185.2
SE_A02002_002	837	94,828	188,531	29,898	1.995e+06
SE_A02002_003	837	6,712	12,818	1,074	146,203
SE_A02002_004	837	6,418	11,730	1,133	126,660
SE_A02002_005	837	6,563	11,817	821	139,548
SE_A02002_006	837	4,017	7,212	471	80,257
SE_A02002_007	837	10,185	21,102	914	220,136
SE_A02002_008	837	15,478	33,881	1,959	379,769
SE_A02002_009	837	13,879	29,202	3,141	310,757
SE_A02002_010	837	12,663	25,138	2,474	271,871
SE_A02002_011	837	9,582	18,747	1,160	217,902
SE_A02002_012	837	5,461	10,649	392	134,233
SE_A02002_013	837	2,836	5,659	143	60,615
SE_A02002_014	837	1,035	2,175	0	25,545
SE_A02002_015	837	96,283	190,189	29,472	2.016e+06
SE_A02002_016	837	6,424	12,287	1,028	141,681
SE_A02002_017	837	6,146	11,345	1,132	125,335
SE_A02002_018	837	6,250	11,397	1,079	130,407
SE_A02002_019	837	3,829	7,007	497	79,058
SE_A02002_020	837	9,747	20,309	835	215,226
SE_A02002_021	837	14,693	31,688	1,619	352,769
SE_A02002_022	837	13,590	27,445	2,842	291,218
SE_A02002_023	837	12,833	24,812	3,008	264,747
SE_A02002_024	837	10,344	20,552	1,107	234,044
SE_A02002_025	837	6,499	12,958	662	161,377
SE_A02002_026	837	3,931	7,875	228	86,447
SE_A02002_027	837	1,998	3,987	62	45,432
age5p	837	177,975	353,898	56,206	3.762e+06
age10p	837	165,411	331,127	50,106	3.543e+06
age15p	837	152,598	308,354	44,794	3.316e+06
age18p	837	144,752	294,457	41,150	3.186e+06
age20p	837	139,282	283,623	38,621	3.081e+06
age21p	837	136,332	277,605	37,006	3.022e+06
age22p	837	133,433	271,698	36,079	2.966e+06
age25p	837	124,820	253,601	32,216	2.785e+06
age30p	837	109,356	220,115	26,595	2.405e+06
age35p	837	94,650	188,286	21,886	2.052e+06
age40p	837	80,605	159,016	17,239	1.746e+06
age45p	837	67,181	131,959	12,655	1.478e+06
age50p	837	54,035	106,391	7,948	1.217e+06
age55p	837	41,685	82,295	5,674	964,373
age60p	837	30,822	61,074	3,663	725,516
age62p	837	26,867	53,194	2,766	633,038
age65p	837	21,759	43,099	1,773	512,427
age67p	837	18,719	37,076	1,551	441,138
age70p	837	14,870	29,525	1,254	342,248
age75p	837	9,799	19,615	645	216,817
age80p	837	5,967	12,033	335	130,989
age85p	837	3,033	6,145	102	69,755
SE_A01004_001	837	35.01	4.025	24.70	47.60
SE_A01004_002	837	33.85	3.972	23.10	45.70
SE_A01004_003	837	36.20	4.236	24.80	50.70
SE_A10008_001	837	63,234	131,184	13,733	1.382e+06
SE_A10008_002	837	42,145	78,429	12,173	823,799
SE_A10008_003	837	29,403	51,301	6,628	531,499
SE_A10008_004	837	12,742	27,581	1,633	301,434
SE_A10008_005	837	3,880	8,598	398	94,618
SE_A10008_006	837	8,862	19,022	1,168	207,462
SE_A10008_007	837	21,088	53,615	1,360	564,674
SE_A10008_008	837	10,144	26,866	148	280,117
SE_A10008_009	837	10,944	26,787	650	284,557
SE_A10024_001	837	63,234	131,184	13,733	1.382e+06
SE_A10024_002	837	16,018	40,201	1,040	421,527
SE_A10024_003	837	18,243	37,849	1,692	403,076
SE_A10024_004	837	10,459	20,106	2,192	215,361
SE_A10024_005	837	9,463	17,276	2,029	182,425
SE_A10024_006	837	4,990	9,280	330	99,146
SE_A10024_007	837	2,255	4,231	49	45,803
SE_A10024_008	837	1,805	3,666	0	46,373
SE_A10002B_001	837	31,609	80,857	2,803	884,311
