"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","SE_A00002_001","SE_A00003_001","SE_A00003_002","SE_A00003_003","SE_A02002_002","SE_A02002_003","SE_A02002_004","SE_A02002_005","SE_A02002_006","SE_A02002_007","SE_A02002_008","SE_A02002_009","SE_A02002_010","SE_A02002_011","SE_A02002_012","SE_A02002_013","SE_A02002_014","SE_A02002_015","SE_A02002_016","SE_A02002_017","SE_A02002_018","SE_A02002_019","SE_A02002_020","SE_A02002_021","SE_A02002_022","SE_A02002_023","SE_A02002_024","SE_A02002_025","SE_A02002_026","SE_A02002_027","SE_C01001B_002","SE_C01001B_003","SE_C01001B_004","SE_C01001B_005","SE_C01001B_006","SE_C01001B_007","SE_C01001B_008","SE_C01001B_009","SE_C01001B_010","SE_C01001B_011","SE_C01001B_012","SE_C01001B_013","SE_C01001B_014","SE_C01001B_015","SE_C01001B_016","SE_C01001B_017","SE_C01001B_018","SE_C01001B_019","SE_C01001B_020","SE_C01001B_021","SE_C01001B_022","SE_C01001B_023","SE_A01004_001","SE_A01004_002","SE_A01004_003","SE_A10008_001","SE_A10008_002","SE_A10008_003","SE_A10008_004","SE_A10008_005","SE_A10008_006","SE_A10008_007","SE_A10008_008","SE_A10008_009","SE_A10024_001","SE_A10024_002","SE_A10024_003","SE_A10024_004","SE_A10024_005","SE_A10024_006","SE_A10024_007","SE_A10024_008","SE_A10002B_001","SE_A10002B_002","SE_A10002B_003","SE_A10002B_004","SE_A10002B_005","SE_A10002B_006","SE_A10002B_007","SE_A10002B_008","SE_A10022_001","SE_A10022_002","SE_A10022_003","SE_A10022_004","SE_A10022_005","SE_A10022_006","SE_A10022_007","SE_A10022_008","SE_A10005B_001","SE_A10005B_002","SE_A10005B_003","SE_A10005B_004","SE_A10005B_005","SE_A10005B_006","SE_A10005B_007","SE_A10005B_008","SE_A10009_001","SE_A10009_002","SE_A10009_003","SE_A10009_004","SE_A10009_005","SE_A10009_006","SE_A10009_007","SE_A10009_008","SE_A10009_009","SE_A10009_010","SE_A10009_011","SE_A10009_012","SE_A10009_013","SE_A10009_014","SE_A10009_015","SE_A10009_016","SE_A10009_017","SE_A10009_018","SE_A10009_019","SE_A10010_002","SE_A03001B_002","SE_A03001B_010","SE_A10023_002","SE_A10023_003","SE_A10020_002","SE_A10020_003","SE_A10020_004","SE_A10020_005","SE_A10020_006","SE_A10020_007","SE_A10020_008","SE_A10020_009","SE_A10020_010","SE_A01003B_002","SE_A01003B_003","SE_A01003B_004","SE_A01003B_005","SE_A01003B_006","SE_A01003B_007","SE_A01003B_008","SE_A01003B_009","SE_A01003B_010","SE_A10003_001","SE_A10003B_001","SE_A11001_002","SE_A11001_003","SE_A11001_004","SE_A11001_005","SE_A11001_006","SE_A14019_001","SE_A14016_001","SE_A14021_001","SE_A14023_001","SE_A14023_002","SE_A14023_009","SE_A10011_002","SE_A10011_003","SE_A10019_002","SE_A10019_003","SE_A10016_002","SE_A10016_003","SE_A10012_002","SE_A10012_003","SE_A10017_002","SE_A10017_003","SE_A10018_002","SE_A10018_003","SE_A10014_002","SE_A10014_003","SE_A10015_002","SE_A10015_003","SE_A10013_002","SE_A10013_003","SE_A14024_001","SE_A14026_001","SE_A14026_002","SE_A14026_003","SE_A14026_004","SE_A14026_005","SE_A14027_001","SE_A14027_002","SE_A14027_003","SE_A14027_004","SE_A14027_005","SE_A14027_006","SE_A14025_001","SE_A14025_002","SE_A14025_003","SE_A14025_004","SE_A14025_005","SE_A14025_006","SE_A14028_001","SE_A10060_001","SE_A10060_002","SE_A10060_003","SE_A10044_001","SE_A10044_002","SE_A10044_003","SE_A10032_002","SE_A10032_003","SE_A10032_004","SE_A10032_005","SE_A10032_006","SE_A10032_007","SE_A10032_008","SE_A10032_009","SE_A10032_010","SE_A10032_011","SE_A10032_012","SE_A10050_002","SE_A10050_003","SE_A10050_004","SE_A10050_005","SE_A10050_006","SE_A10050_007","SE_A10042B_002","SE_A10042B_003","SE_A10042B_004","SE_A10042B_005","SE_A10042B_006","SE_A10042B_007","SE_A10057_001","SE_A10036_001","SE_A18003_001","SE_A18004_001","SE_A18007_002","SE_A18007_003","SE_A10037_001","SE_A10037_002","SE_A10037_003","SE_A10027_002","SE_A10027_003","SE_A10027_004","SE_A10027_005","SE_A10027_006","SE_A10027_007","SE_A10027_008","SE_A10027_009","SE_A10027_010","SE_A10027_011","SE_A10027_012","SE_A10027_013","SE_A10027_014","SE_A10027_015","SE_A13003A_001","SE_A13003A_002","SE_A13003A_003","SE_A13003B_001","SE_A13003B_002","SE_A13003B_003","SE_A13003C_001","SE_A13003C_002","SE_A13003C_003","SE_A09001_002","SE_A09001_003","SE_A09001_004","SE_A09001_005","SE_A09001_006","SE_A09001_007","SE_A09001_008","SE_A09001_009","SE_A09002_002","SE_A09002_003","SE_A09002_004","SE_A09002_005","SE_A09002_006","SE_A09002_007","SE_A09002_008","SE_A10030_003","SE_A10030_004","SE_A10030_005","SE_A10030_006","SE_A10030_007","SE_A10054B_002","SE_A10054B_003","SE_A10054B_004","SE_A10054B_005","SE_A10054B_006","SE_A10054B_007","SE_A16002_001","SE_A16002_002","SE_A16002_003","SE_A16002_004","SE_A16002_005","SE_A16002_006","SE_A16002_007","SE_A06001_002","SE_A06001_003","SE_A06001_004","SE_A06001_005","SE_A05001_002","SE_A05001_003","SE_A05001_004","SE_A10048_001","SE_A10048_002","SE_A10048_003","id"
"59","Moreno Valley city",2006,51.275,3923,3777,68,141,12,0,179,253,5,3641,0.0614325771093551,303364.32,157612.62,95400.2,690,35276.91,0,70530,118748,762,151720.32,78334.59,-0.202215141473362,0.765584845487528,-0.037394850879429,-0.037394850879429,-0.00987254652052001,0.181160163002706,1628240,709978,3505.56986092153,51.5836637080944,51.2284755759486,0.355188132145786,86693,7699,8099,7835,5542,8841,15831,12757,10842,5651,1881,1513,202,92892,7653,8437,8229,5045,11167,16507,12300,11473,4938,4019,1963,1161,164233,147697,131633,121046,117036,112708,109250,101038,82387,68700,57352,43643,31078,21328,15230,12864,10739,9026,7297,4839,2680,1363,27.7,27.3,28.1,47501,38671,27397,11274,3294,7980,8830,3971,4859,47501,6905,9522,8403,8691,6949,3988,3043,13852,3044,1652,2872,2371,1742,1373,798,47501,26980,22970,3724,6268,12978,4010,20521,13852,8080,6967,1498,1911,3558,1113,5772,47501,27474,27073,18511,8562,2718,5844,401,330,71,20027,11598,8886,2712,576,2136,8429,3641,4788,19885,4529,5366,18246,29255,2289,12122,10972,12107,3107,2147,2956,1656,145,1268,4968,2679,3142,757,243,472,323,0,3.77,3.62,48774,63216,3192,6250,10201,2972252900,38208,360797200,3209071100,1529156000,1113173000,42380,5121,40662,6839,5360,42141,4551,42950,7970,39531,2141,45360,1799,45702,6504,40997,6336,41165,17869,25652,42567,62802,91440,144677,13167,35047,52724,75095,136829,207770,4.19999980926514,11.1999998092651,16.8999996185303,24,43.7000007629395,16.6000003814697,0.39300000667572,47501,33649,13852,49971,47501,2470,40906,40086,820,896,1866,1500,1838,865,775,1325,0,292,3491,6985,19755,12649,4329,130,3354,3954,3914,1301,1199,1986,388300,39.7000007629395,15519500,1158,982,34,36.2000007629395,13.6999998092651,64,316,913,781,917,537,1163,1995,1870,3713,11183,9208,14448,393,57246,9561,47685,110307,11595,98712,10739,1387,9352,72206,5789,15865,13453,11983,10606,8403,6107,1164,11824,22119,15389,7200,8403,6107,12688,17996,9605,3328,2225,1268,6461,4197,1243,522,161,120972,9196,7468,1728,111776,102765,9011,136573,43012,15983,27029,172904,146517,26387,47501,47455,47501,810
"60","Mountain View city",2006,11.995,4431,4155,149,939,161,4,1162,515,14,3587,0.126382306477093,6821966.43,4589350.5,151573.49,2112996.98,577431.79,18625,462601.07,383402.09,1080,6431696.97,275007.47,-0.482640487474611,0.919966275058632,-0.215892575039494,-0.215892575039494,-0.0489122094335365,0.277578108849196,879827,572340,5928.54732093047,12.2356277326381,12.0633261621289,0.172301570509207,37118,2327,1885,1097,810,4227,9243,5906,5412,3166,1791,1036,218,34400,3083,1274,1955,1293,2090,6436,5527,5050,4091,1705,1525,371,66108,62949,59897,57794,56780,55759,55045,51477,46012,35798,30250,24365,18454,13903,9327,8364,6646,5864,4735,3150,1993,589,35.1,34.2,37.6,31466,16734,12777,3957,1743,2214,14732,7970,6762,31466,11804,9831,5868,2329,1073,470,91,18236,7941,5693,2766,705,668,425,38,31466,8418,8154,3297,1033,3824,264,23048,18236,4066,4023,1591,713,1719,43,14170,31466,8467,8418,6609,1809,600,1209,49,0,49,22999,8316,6168,2148,1143,1005,14683,7970,6713,20907,10932,3442,4547,26919,1394,8161,6715,6265,2983,1511,2201,1832,404,1394,6585,3746,3103,1594,355,419,876,164,2.27,2.17,22574,28733,1200,1979,5411,3292885800,63586,1268058200,3449621800,2102578700,321080100,27588,3878,26824,4642,3874,27592,12806,18660,4993,26473,732,30734,216,31250,3246,28220,2321,29145,48234,38652,64421,95661,149463,252214,21644,51784,80481,117604,251733,445443,4.09999990463257,9.89999961853027,15.3999996185303,22.5,48.0999984741211,21.2999992370605,0.437000006437302,31466,13230,18236,32776,31466,1310,13797,10057,3740,565,2467,3579,2751,3198,5117,1302,0,1065,7864,12034,7323,2523,657,1065,7149,7529,2385,108,0,1973,732700,23.8999996185303,23432200,1359,1213,24.2999992370605,27.2000007629395,8.60000038146973,66,145,375,811,687,505,788,632,1669,1830,9353,4466,9431,708,13617,964,12653,51148,3298,47850,6646,334,6312,40166,3805,16779,10908,4577,2325,1328,444,470,9626,21396,5019,1883,1328,444,14690,11748,2501,914,50,1311,10661,4925,797,542,0,57794,2968,1512,1456,54826,49636,5190,41358,30160,10122,20038,67590,51340,16250,31466,31420,31466,826
"61","Murrieta city",2006,33.577,1954,1879,33,144,18,0,151,415,4,1612,0.152507676560901,567494.79,509308.73,25912.51,1327.67,26309.87,0,30297.7,323157.19,2000,269139.58,86618.73,0.040568065506653,0.923283746927866,0.143259979529171,0.143259979529171,-0.00782497441146366,0.242631561898098,1172827,644225,3186.82387648373,28.4297938832149,28.3859427147925,0.043851168422402,43319,2620,3597,2822,2495,4134,6323,7269,6239,4145,1780,1358,537,47142,3176,3462,4025,3328,5184,6259,7770,5645,3660,1900,2142,591,84665,77606,70759,64936,61648,60376,58884,55618,49426,43036,36009,27997,22196,16113,11420,9728,8308,7839,6655,4628,2877,1128,34,34.7,32.3,29076,22932,18893,4039,1582,2457,6144,3159,2985,29076,5101,9304,4205,5352,3161,1296,657,4992,1439,1623,613,917,196,204,0,29076,13744,12965,2683,2492,7790,779,15332,4992,2089,1869,634,460,775,220,2903,29076,13744,13744,10649,3095,1352,1743,0,0,0,15332,9188,8244,944,230,714,6144,3159,2985,20932,3553,1253,6256,22820,1318,5696,6445,6613,2806,1771,1893,2158,376,1166,1229,634,900,52,216,156,639,0,3.09,2.53,19794,39959,2500,3414,5092,2543485800,45709,291183800,2603667200,1734945100,600063500,24606,4470,23082,5994,3444,25632,7462,21614,6088,22988,662,28414,167,28909,5654,23422,3633,25443,28782,37190,64643,92089,125822,183639,20630,49592,76466,107696,183002,288185,4.69999980926514,11.3000001907349,17.5,24.6000003814697,41.7999992370605,16.5,0.375,29076,24084,4992,33037,29076,3961,27034,25661,1373,196,885,1304,1331,272,469,1546,0,0,2002,4370,7511,10769,4424,0,1547,1447,742,938,318,1994,499000,33.5,6386000,1228,1111,31.2999992370605,35,13.8999996185303,0,270,378,718,1289,617,592,290,299,718,4827,3722,15154,202,25525,1059,24466,55988,3974,52014,8308,552,7756,38734,4851,10800,4671,2626,5598,7019,3169,1568,9234,9520,4360,3864,7019,3169,6902,12609,5711,2310,1129,212,1917,2201,355,242,65,63803,8003,5646,2357,55800,49849,5951,78215,12246,7700,4546,84589,55242,29347,29076,29015,29015,829
"62","Napa city",2006,17.839,2760,2474,90,280,9,0,698,488,23,1940,0.151086956521739,1061602.41,618086.73,143550.13,1100,55841.21,0,308862.21,352221.8,3145,576530.73,299954.6,-0.156036231884058,0.957537283874487,-0.00673550724637681,-0.00673550724637681,-0.0256413043478261,0.317717521809617,676761,237594,4351.53325608137,17.7892353169204,17.6974402970207,0.0917950198997061,40505,3397,3094,2613,2039,4714,6431,5985,4110,3793,2035,1815,479,36506,2010,1853,2532,981,2904,5168,5602,4814,4061,3099,2365,1117,71604,66657,61512,58492,56310,55384,54432,50874,44742,39275,33141,27688,22958,18764,14032,12504,10910,9864,8335,5776,3649,1596,35.7,32.1,40.3,28154,17946,13392,4554,1228,3326,10208,4350,5858,28154,8787,7684,4713,3885,1110,968,1007,12399,5555,1725,2209,1249,423,849,389,28154,9184,8464,1567,2338,4559,720,18970,12399,4196,3932,443,1397,2092,264,8203,28154,9184,9184,6528,2656,612,2044,0,0,0,18970,8762,6864,1898,616,1282,10208,4350,5858,25790,11295,3780,5979,22175,1292,3843,5763,4805,2819,1774,3423,3329,1106,1214,2501,2356,1537,546,854,1188,1604,599,2.65,2.59,18421,30766,1321,4747,6257,2051653800,38961,522091500,2090113900,1949196100,341430300,21922,6232,20751,7403,4125,24029,8632,19522,8156,19998,827,27327,551,27603,5789,22365,2770,25384,27140,21352,45558,71826,108011,168356,10646,33811,61346,89023,169537,271054,2.90000009536743,9.30000019073486,16.7999992370605,24.3999996185303,46.5,18.6000003814697,0.439000010490417,28154,15755,12399,29623,28154,1469,19765,17990,1775,1719,1728,1437,1319,364,1977,1314,0,523,4923,8086,9571,4645,406,523,4768,4505,2161,405,37,1972,635100,32.2999992370605,13094400,1201,980,27.3999996185303,31.5,12,196,575,1002,499,1194,767,1308,1858,1588,1468,5326,4224,7580,569,18519,2869,15650,45875,5013,40862,10384,1459,8925,34042,5179,14074,4870,4849,2342,2016,712,443,12186,11494,6120,1071,2016,712,9138,10503,3400,1702,757,2354,5479,3819,582,0,165,58492,4687,2454,2233,53805,45128,8677,58020,18991,4916,14075,69904,47162,22742,28154,28124,27903,832
"63","Newport Beach city",2006,23.805,17037,13877,1826,1453,25,18,3117,5802,167,10600,0.207900451957504,33275070.18,19532930.96,9206335.82,6810,3911116.95,10550,4662019.76,13578510.67,288339.79,22837536.09,5784810.81,0.285952925984622,0.849001666885148,0.313464224922228,0.313464224922228,-0.0165181663438399,0.440268164244007,2432074,1313788,5874.77790327866,39.8474799883243,14.7784310197576,25.0690489685667,42453,2525,2674,2603,1406,2778,5455,7373,5151,5516,3878,2356,738,44367,2650,2658,1469,1298,2900,6142,5724,5347,6089,5660,3093,1337,81645,76313,72241,69537,68290,67367,67065,63859,58284,52262,45935,39165,33649,28667,22853,20779,17062,15214,12256,7524,4800,2075,41.8,40.7,44.1,38389,20508,16644,3864,1653,2211,17881,7981,9900,38389,13453,14964,3932,3635,1728,572,105,15480,7030,5478,1550,858,524,0,40,38389,8755,8227,2174,1449,4604,528,29634,15480,2374,2225,851,101,1273,149,13106,38389,8755,8755,6398,2357,816,1541,0,0,0,29634,11753,10246,1507,837,670,17881,7981,9900,35559,14363,1448,1790,36599,1562,5252,7017,5946,3556,3653,6149,3697,1557,1516,4136,4046,1781,1093,656,1141,911,200,2.25,2.02,20830,35266,1374,5217,9554,6569789800,81058,1671679300,6719417900,6092300600,231688000,30891,7498,27013,11376,8934,29455,17152,21237,11769,26620,421,37968,137,38252,5255,33134,3447,34942,77395,40391,81652,124928,242347,561185,22976,60052,103085,173960,495614,936305,2.70000004768372,7,12,20.2999992370605,57.9000015258789,27.3999996185303,0.540000021457672,38389,22909,15480,43851,38389,5462,28327,20061,8266,2619,1280,1591,1131,1682,6024,1197,0,431,4438,12655,9742,7719,3404,372,4017,7842,2095,814,340,1973,1000001,29.2000007629395,29087600,1787,1832,22.7000007629395,28.5,9.69999980926514,59,368,677,1059,634,1240,326,549,459,818,5269,7116,19418,397,17049,317,16732,52422,2707,49715,16576,760,15816,38300,6005,13511,6862,5357,3743,1676,1146,978,12254,13146,6696,2404,1676,1146,13981,15942,5670,1288,675,742,7573,5302,1322,266,275,69392,7180,2491,4689,62212,49839,12373,73169,13651,8141,5510,80360,47475,32885,38389,38343,38334,839
"64","Norwalk city",2006,9.707,2930,2761,47,93,7,0,291,135,8,2654,0.0593856655290102,434672.28,305433.9,55339.96,327.33,67608.36,0,103518.01,66003.66,5915,287012.17,42923.59,-0.505542662116041,0.882266469558574,-0.180389078498294,-0.180389078498294,-0.0275221843003413,0.211940111372223,784163,280265,11018.0782151934,9.73646171333612,9.68335837849442,0.0531033348417058,51126,3758,4359,5403,2608,6982,6609,6841,6566,4334,2135,990,541,55566,3838,3616,3591,2143,5499,8565,7059,8837,5404,3517,2177,1320,99096,91121,82127,77376,74025,71414,70284,64895,57661,49721,43523,35821,28264,20418,14958,13538,10680,9855,7794,5028,3182,1861,32.5,29.4,35.6,27777,22468,15864,6604,1580,5024,5309,1899,3410,27777,4508,5350,5316,5291,4299,1639,1374,9498,1907,1816,1544,1674,2038,284,235,27777,12222,10418,1086,2621,6711,1804,15555,9498,4412,4193,387,835,2971,219,5086,27777,12321,12270,8738,3532,367,3165,51,51,0,15456,10198,7126,3072,1213,1859,5258,1848,3410,16214,5918,4924,15967,11810,159,4277,5842,7429,2496,2319,2881,1556,818,121,1808,2183,2674,683,438,975,343,273,3.74,3.56,29526,38037,3210,5087,6267,1762297500,40050,200141300,1906028700,1020956500,1078743300,23720,4057,23063,4714,2921,24856,3397,24380,7447,20330,1828,25949,841,26936,4437,23340,2673,25104,17865,24054,48066,69539,91842,135252,14588,37103,58764,79831,126936,181707,4.59999990463257,11.6999998092651,18.5,25.2000007629395,40,14.3000001907349,0.358000010251999,27777,18279,9498,29029,27777,1252,23600,22075,1525,110,820,710,472,911,1711,695,0,118,2120,8692,13773,2449,625,118,2021,4331,2328,522,178,1956,469000,34.5,11067200,1163,1162,26.5,29.1000003814697,12.3999996185303,0,843,1450,728,1106,382,577,898,1063,1274,7640,6511,5117,188,28843,5150,23693,65785,5616,60169,9938,977,8961,45726,4301,13629,8491,8049,6463,3478,1315,983,8795,16643,10221,4291,3478,1315,6927,9129,6797,2225,584,1339,3227,3036,1692,153,51,77376,3777,2386,1391,73599,64310,9289,69348,37344,17821,19523,102292,92908,9384,27777,27725,27733,859
"65","Oakland city",2006,55.786,30959,23437,1985,3027,168,99,10394,1880,94,21355,0.198488323266255,61488088.13,10938004.24,8804424.22,48154.65,796122.09,78789.43,9984217.96,3103615.7,67235,48345446.91,6289702.86,-0.730556219516134,0.702333885379835,-0.44338189217998,-0.44338189217998,-0.0674482379921832,0.311370922283473,3754772,2145972,6730.01653331926,78.1541520655694,56.0557315323469,22.0984205332225,184412,16064,11540,12640,6505,15387,29035,32128,23842,19070,9740,6135,2326,192844,13947,13807,10763,6778,16063,28429,28313,28455,21833,11560,9419,3477,347245,321898,298495,285212,276488,272323,268061,253762,226996,196298,164042,135857,108271,83560,59614,51985,42657,38535,30971,21357,13193,5803,36.1,35.3,37.1,144747,75742,48866,26876,6576,20300,69005,31089,37916,144747,55522,40141,21617,12567,7875,2835,4190,81426,37054,20061,10911,5648,4285,1368,2099,144747,42292,37720,9701,8215,19804,4572,102455,81426,23136,21240,5613,4704,10923,1896,58290,144747,42821,42519,24341,18178,3955,14223,302,194,108,101926,33223,24525,8698,2621,6077,68703,30895,37808,56710,26822,14534,23011,121736,4480,26188,32823,29319,13066,10499,14246,9701,4425,4272,19749,20442,16053,4676,4280,5699,4253,2002,2.56,2.4,117149,120286,9832,18120,33108,9583703400,31680,3437882100,9987029200,5274936300,1368625200,112868,31879,104359,40388,25676,119071,35941,108806,32952,111795,12518,132229,7697,137050,20860,123887,16586,128161,26473,16268,34837,57948,98627,192444,8834,25390,45777,75832,175217,309420,2.70000004768372,7.69999980926514,13.8000001907349,22.8999996185303,52.9000015258789,23.3999996185303,0.5,144747,63321,81426,164043,144747,19296,78546,72199,6347,12650,19823,13434,10897,15946,12347,268,132,7323,36099,48130,35880,12661,4654,6961,32388,26587,11572,2955,963,1945,590800,32.5999984741211,79937400,993,1023,31.1000003814697,36.7999992370605,12.6999998092651,438,1275,6260,5802,5811,4380,6544,9436,10317,9984,32835,15932,33691,2042,90993,26646,64347,239965,38493,201472,42032,5155,36877,157279,11928,45473,30928,33440,20845,12402,2263,1822,30734,55773,39886,14399,12402,2263,59042,39609,14444,4214,2166,22055,39015,14595,4016,1277,468,285111,19012,10868,8144,266099,231586,34513,268134,109122,44694,64428,359540,304482,55058,144747,143009,142513,869
"66","Oceanside city",2006,41.235,4266,4015,83,560,46,3,532,862,7,3572,0.141115799343647,990066.07,651792.44,214514.37,3896,70337.72,68.37,232121.28,420079.31,672,595233.25,243192.62,0.0279606188466948,1.02788172183753,0.0958977965307079,0.0958977965307079,0.0173745897796531,0.366059974780257,1722104,659863,4047.84225883076,41.5725312240829,40.5897733889115,0.982757835171437,81963,8605,5340,5940,4322,8555,12887,10743,10552,5731,4273,3857,1158,82338,6377,4476,5715,3920,7869,11933,10964,9861,7373,6465,5461,1924,149319,139503,127848,119606,115840,113952,110949,103182,91344,78362,67663,56655,44141,36242,27733,25692,23138,20247,17386,12400,7301,3082,33.5,31.7,35.9,59874,40296,30298,9998,2652,7346,19578,10213,9365,59874,14660,21050,8701,8225,3963,1785,1490,21174,5167,6959,4122,2767,1191,410,558,59874,21881,19635,5035,3899,10701,2246,37993,21174,8962,8441,2406,2108,3927,521,12212,59874,21989,21929,14703,7226,1567,5659,60,60,0,37885,18367,15595,2772,1085,1687,19518,10153,9365,41805,12616,6212,14334,45540,3959,11330,11583,11331,4835,2368,6277,6343,1848,3619,6914,4040,3363,730,464,755,771,518,2.74,2.72,36441,66838,3059,8026,13484,4200738800,45741,931001600,4258515100,3039702700,829734700,45697,14177,43852,16022,7027,52847,16837,43037,16757,43117,1661,58213,724,59150,11593,48281,7734,52140,25919,27660,48178,70665,100978,165275,14590,37903,58236,84850,155219,246836,4.19999980926514,10.8000001907349,16.6000003814697,24.2000007629395,44.2000007629395,17.6000003814697,0.40200001001358,59874,38700,21174,64653,59874,4779,43471,34565,8906,1054,2616,3706,1513,1561,7596,3136,0,727,6402,20008,19160,11014,2563,530,5722,10082,3988,852,0,1980,516500,30.3999996185303,25971600,1287,1161,29.2999992370605,34.0999984741211,13,316,821,2222,1301,1852,1695,1686,2283,2400,2912,14309,11324,16462,291,44695,6290,38405,96468,8179,88289,23138,1926,21212,71844,5809,16311,18406,12846,9303,7048,2121,1265,11947,27314,15328,6821,7048,2121,20857,24727,7537,3377,883,1503,9842,8421,952,456,0,116854,15992,10401,5591,100862,83315,17547,125707,38594,18274,20320,157628,120909,36719,59874,59695,59684,875
"67","Ontario city",2006,49.941,6954,6023,363,129,5,1,401,547,30,6312,0.0572332470520564,2806442.83,633574.98,1138371.58,442,38120.56,100,471928.47,836146.6,18472,1952850.23,540600.93,-0.141879493816508,0.77376511945903,0.00564567155593903,0.00564567155593903,-0.0157621512798389,0.289325805828501,1255373,520085,3116.82452773042,49.8573966365867,49.7840024741427,0.0733941624439959,77092,6481,5910,6815,2445,9261,15693,9407,10463,6470,2383,1709,55,78076,6413,6533,5745,2814,8856,14731,9761,10913,5945,3109,2534,722,142274,129831,117271,112012,108496,105673,102658,93895,77007,63471,55957,44303,33627,22927,15902,13121,10512,8578,7368,5020,2405,777,29.8,29.1,30.3,44267,35185,24580,10605,3691,6914,9082,4891,4191,44267,6967,11475,7838,6992,5564,3548,1883,17467,2998,4290,4228,2185,2271,1197,298,44267,22421,19709,5157,4406,10146,2712,21846,17467,9267,8521,2848,2124,3549,746,8200,44267,22421,22421,15101,7320,2380,4940,0,0,0,21846,12764,9479,3285,1311,1974,9082,4891,4191,21606,7127,10098,22057,22210,1694,10680,9478,10252,4121,2816,3173,1650,403,1306,6765,3747,3099,983,524,738,214,91,3.49,3.3,39757,58790,3579,5187,9958,2929131700,45780,445545600,3165015300,1578645900,1418870300,39258,5009,38123,6144,3825,40442,6292,37975,7559,36708,968,43299,1621,42646,5063,39204,5617,38650,20397,25858,46887,67761,100192,151981,15645,36736,57127,81148,140191,209091,4.69999980926514,11.1000003814697,17.2999992370605,24.5,42.4000015258789,15.8000001907349,0.379999995231628,44267,26800,17467,46726,44267,2459,30452,27797,2655,1399,4367,3903,2176,1388,841,2200,0,223,4723,14077,14358,9302,1584,223,3998,10113,1904,984,245,1977,424200,27.7999992370605,18370500,1099,981,27.1000003814697,30.2999992370605,11.5,114,523,1118,1116,1338,819,976,2236,3181,3064,13936,7007,8254,585,42579,4969,37610,101356,8668,92688,9940,446,9494,69997,7218,25015,13540,10509,5963,5118,2634,1479,14249,30045,12044,4428,5118,2634,12614,18206,7546,2794,1855,1128,7423,6184,2185,54,493,111820,7790,5792,1998,104030,95516,8514,110825,44343,15437,28906,149601,123156,26445,44267,44067,44191,881
"68","Orange city",2006,24.797,7861,5572,1143,655,10,39,1157,1568,44,5926,0.183564432006106,19302569.47,2765352.38,9546811.49,3585,228160.53,49574,4250993.15,4819101.1,41990,14924483.72,2740830.5,-0.0912797354026205,0.838752293835896,0.026139168044778,0.026139168044778,-0.0308523088665564,0.376486483767173,2264797,1245303,5717.26947316645,23.9005014695049,23.3949091656023,0.505592303902566,69320,4108,6109,5918,3091,10104,7821,11592,9594,5455,3246,1809,473,64435,3924,4363,4462,2236,6636,7885,11147,10390,5085,3626,3651,1030,125723,115251,104871,99544,93500,91201,87616,82804,74979,67098,55342,44359,33801,24375,18733,16524,13835,11984,9643,6963,3957,1503,35.1,32,36.9,40720,28425,20271,8154,2577,5577,12295,5051,7244,40720,9198,10741,6888,6633,3894,1760,1606,15148,3128,3474,2912,2251,1754,1185,444,40720,15560,14294,1837,3312,9145,1266,25160,15148,6542,5988,524,2118,3346,554,8606,40720,15696,15696,9965,5731,1288,4443,0,0,0,25024,12729,10306,2423,1289,1134,12295,5051,7244,30660,10183,5814,10893,29827,1156,5794,9710,9631,3462,2544,3903,3551,969,973,3133,4546,3133,632,966,799,769,197,3.15,3.36,38919,47682,2455,4796,11019,3531650800,45370,821485900,3706186100,2966799000,849010900,33361,7359,31692,9028,6665,34055,12149,28571,10737,29983,1615,39105,1652,39068,6384,34336,5027,35693,27709,30640,54906,80599,124471,212501,17579,42855,67621,99464,206132,359382,4.09999990463257,9.89999961853027,15.6000003814697,22.8999996185303,47.5,20.7000007629395,0.43299999833107,40720,25572,15148,42377,40720,1657,28434,24151,4283,1270,3702,1831,853,2561,2752,974,0,146,4658,10835,12913,9927,2241,146,3924,7389,2419,930,340,1970,650100,32.2999992370605,20330400,1408,1239,26,30.1000003814697,10.8000001907349,145,554,1383,1237,1241,751,557,603,655,1933,11282,7064,12835,480,32513,4031,28482,82242,8050,74192,13818,668,13150,60480,6225,16642,15325,12616,5456,2678,1538,1689,11936,24567,14689,3383,2678,1538,12224,15272,6696,2976,1441,1733,6168,5182,1351,305,409,99544,6608,3783,2825,92936,81926,11010,101209,32546,13535,19011,122769,91451,31318,40720,40562,40525,883
