	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
SE_A10002B_003	916	7,783	20,996	357	244,127
SE_A10002B_004	916	4,736	11,191	123	128,213
SE_A10002B_005	916	3,935	9,125	255	105,607
SE_A10002B_006	916	2,266	5,284	0	61,165
SE_A10002B_007	916	1,049	2,399	0	29,418
SE_A10002B_008	916	798.5	1,815	0	23,166
SE_A10022_001	916	59,808	125,893	13,733	1.382e+06
SE_A10022_002	916	21,300	39,410	5,291	442,010
SE_A10022_003	916	19,131	35,037	5,008	398,952
SE_A10022_004	916	4,114	7,819	520	86,499
SE_A10022_005	916	4,091	7,640	221	93,338
SE_A10022_006	916	10,926	19,761	2,784	219,940
SE_A10022_007	916	2,169	4,487	0	53,733
SE_A10022_008	916	38,507	87,323	4,463	994,290
SE_A10005B_001	916	29,663	77,550	2,803	884,311
SE_A10005B_002	916	10,776	24,032	1,058	273,434
SE_A10005B_003	916	9,872	21,769	1,058	246,852
SE_A10005B_004	916	2,362	5,011	0	56,611
SE_A10005B_005	916	2,414	5,357	27	62,495
SE_A10005B_006	916	5,096	11,532	575	133,137
SE_A10005B_007	916	903.8	2,308	0	28,643
SE_A10005B_008	916	18,888	54,167	1,606	634,764
SE_A10009_001	916	59,808	125,893	13,733	1.382e+06
SE_A10009_002	916	21,554	39,866	5,326	448,766
SE_A10009_003	916	21,396	39,599	5,291	444,850
SE_A10009_004	916	14,201	24,580	3,647	276,971
SE_A10009_005	916	7,195	15,316	530	178,596
SE_A10009_006	916	1,991	4,280	35	49,310
SE_A10009_007	916	5,203	11,070	315	130,277
SE_A10009_008	916	157.6	302.0	0	3,916
SE_A10009_009	916	101.4	206.1	0	2,775
SE_A10009_010	916	56.28	123.8	0	1,398
SE_A10009_011	916	38,254	86,887	4,326	990,888
SE_A10009_012	916	18,537	36,129	2,668	428,103
SE_A10009_013	916	13,751	24,963	1,528	287,846
SE_A10009_014	916	4,786	11,354	333	140,257
SE_A10009_015	916	1,657	4,041	42	50,490
SE_A10009_016	916	3,129	7,339	215	90,247
SE_A10009_017	916	19,717	51,154	1,336	562,785
SE_A10009_018	916	9,430	25,601	148	278,989
SE_A10009_019	916	10,288	25,590	553	283,796
SE_A10010_002	916	36,911	72,148	2,520	773,902
SE_A03001B_002	916	16,715	40,082	654	453,918
SE_A03001B_010	916	10,332	30,668	308	364,015
SE_A10023_002	916	17,391	43,217	902	508,869
SE_A10023_003	916	42,416	85,162	641	875,381
SE_A10020_002	916	2,260	5,444	0	60,222
SE_A10020_003	916	10,516	24,502	680	262,650
SE_A10020_004	916	12,611	26,989	2,640	307,221
SE_A10020_005	916	12,621	25,543	2,617	282,155
SE_A10020_006	916	5,486	11,100	524	128,562
SE_A10020_007	916	4,650	9,509	243	115,682
SE_A10020_008	916	6,359	12,860	555	166,591
SE_A10020_009	916	3,674	7,483	145	83,208
SE_A10020_010	916	1,630	3,401	0	40,582
SE_A01003B_002	916	2,075	5,161	0	57,656
SE_A01003B_003	916	7,903	20,867	208	229,383
SE_A01003B_004	916	6,991	18,214	395	199,007
SE_A01003B_005	916	5,435	14,247	175	169,241
SE_A01003B_006	916	1,988	5,476	43	68,162
SE_A01003B_007	916	1,579	4,401	0	58,343
SE_A01003B_008	916	1,980	5,491	0	73,453
SE_A01003B_009	916	1,128	3,034	0	34,697
SE_A01003B_010	916	585.1	1,346	0	16,806
SE_A10003_001	916	3.088	0.520	1.810	4.770
SE_A10003B_001	916	3.034	0.564	1.580	4.810
SE_A11001_002	916	55,281	131,408	10,460	1.522e+06
SE_A11001_003	916	65,038	117,944	16,661	1.290e+06
SE_A11001_004	916	3,393	8,332	157	102,599
SE_A11001_005	916	7,132	14,185	1,131	158,769
SE_A11001_006	916	13,438	25,486	1,613	272,139
aggIncome	916	5.203e+09	1.078e+10	5.397e+08	1.330e+11
medIncome	916	48,088	17,225	19,355	137,024
SE_A14021_001	916	1.253e+09	3.456e+09	2.886e+07	4.146e+10
SE_A14023_001	916	5.449e+09	1.134e+10	5.949e+08	1.400e+11
aggIncomeWhite	916	3.544e+09	7.441e+09	1.395e+08	8.895e+10
aggIncomeLatino	916	1.192e+09	2.635e+09	8.952e+07	3.753e+10
SE_A10011_002	916	49,262	104,269	11,651	1.153e+06
SE_A10011_003	916	10,546	21,834	945	243,822
SE_A10019_002	916	46,811	96,946	10,820	1.063e+06
SE_A10019_003	916	12,997	29,180	1,386	330,518
SE_A10016_002	916	8,293	22,158	1,070	270,875
SE_A10016_003	916	51,515	104,028	11,964	1.121e+06
SE_A10012_002	916	12,551	25,263	248	257,766
SE_A10012_003	916	47,257	101,740	7,552	1.148e+06
SE_A10017_002	916	14,050	26,777	1,845	316,077
SE_A10017_003	916	45,757	99,283	11,247	1.069e+06
SE_A10018_002	916	3,544	8,272	72	95,961
SE_A10018_003	916	56,263	117,871	12,196	1.286e+06
SE_A10014_002	916	2,177	5,157	0	65,522
SE_A10014_003	916	57,631	121,028	12,138	1.335e+06
