	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
yr	12,223	2,010	5.137	2,002	2,018
area	12,223	10.30	21.49	0.0440	468.7
count	12,223	2,194	16,083	1	827,884
nIndv	12,223	2,037	15,340	0	816,704
nCorp	12,223	59.11	547.7	0	16,809
nIndvTech	12,223	256.0	1,931	0	90,506
nIndvBigTech	12,223	25.02	255.7	0	11,875
nCorpBigTech	12,223	3.926	61.73	0	5,636
nDemRec	12,223	986.2	8,689	0	584,847
nRepRec	12,223	178.8	935.9	0	35,343
nIndRec	12,223	19.53	264.0	0	19,914
nComRec	12,223	1,426	10,386	0	570,116
aTot	12,223	1.273e+06	1.518e+07	-72,576	7.563e+08
aIndv	12,223	559,561	6.433e+06	-24,941	2.951e+08
aCorp	12,223	223,780	3.953e+06	-1,464	3.030e+08
aIndvBigTech	12,223	6,346	93,853	-6,362	6.881e+06
aIndvTech	12,223	79,056	2.316e+06	-100,063	2.457e+08
aCorpTech	12,223	2,659	42,294	-533.3	2.466e+06
aDemRec	12,223	346,422	4.016e+06	-669,128	1.429e+08
aRepRec	12,223	218,606	3.174e+06	-110,898	2.920e+08
aIndRec	12,223	51,001	1.622e+06	-1,400	1.315e+08
aComRec	12,223	882,897	1.149e+07	-2,841	6.266e+08
meanCFCont	12,223	-0.410	0.719	-3.549	4.170
meanCFCand	12,223	-0.246	0.586	-1.960	3.920
sdCFCand	12,223	-0.246	0.586	-1.960	3.920
meanCFDiff	12,223	-0.0420	0.134	-2.700	1.850
vReg	12,223	537,259	1.592e+06	1,020	8.784e+07
vTurn	12,223	344,818	987,195	693	5.515e+07
id	12,223	695.5	403.2	1	1,474
year1	12,223	0.105	0.307	0	1
year2	12,223	0.108	0.311	0	1
year3	12,223	0.110	0.313	0	1
year4	12,223	0.112	0.315	0	1
year5	12,223	0.110	0.313	0	1
year6	12,223	0.115	0.319	0	1
year7	12,223	0.113	0.316	0	1
year8	12,223	0.117	0.322	0	1
year9	12,223	0.111	0.314	0	1
turnoutR	12,223	0.653	0.163	0.0952	3.688
					
Number of id	1,475	1,475	1,475	1,475	1,475
